cve,securitypatchlevel,reference,type,severity,aospversion,securitycomponent,component,other
CVE-2017-9704,2020-06-05,A-35099636 [QC-CR#2013052](https://source.codeaurora.org/quic/la//kernel/msm-3.18/commit/?id=25e0732943259a798be5203872010c343636a093) [2](https://source.codeaurora.org/quic/la/kernel/msm-3.18/commit/?id=9a2bcabcb7bb10cb7693a498591d761c179dbb3c) [QC-CR#2070526](https://source.codeaurora.org/quic/la//kernel/msm-3.18/commit/?id=3ce3b95ae04ba971367b5a1cf279a68946b1d141) [QC-CR#2076578](https://source.codeaurora.org/quic/la//kernel/msm-3.18/commit/?id=63c0573ca7090556ebee9e1a195e0d70e933c0ec) [2](https://source.codeaurora.org/quic/la//kernel/msm-3.18/commit/?id=f8737e6f304de1df5fd64ef13dfa7df6357d8908),N/A,High,N/A,ualcomm components,Camera,
CVE-2019-14047,2020-06-05,A-145545249 [QC-CR#2279971](https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=e98691d8f5a08cf3af5037290767bdf22c9f1eb3) [2](https://source.codeaurora.org/quic/la/kernel/msm-3.18/commit/?id=58432b5b0c92913738af33130903e8414fd990bd),N/A,High,N/A,ualcomm components,Kernel,
CVE-2020-3665,2020-06-05,A-150697775 [QC-CR#2174506](https://source.codeaurora.org/quic/le/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=48b55d5182ec223d1e1f88dc1b7b7ef91f3459c8),N/A,High,N/A,ualcomm components,WLAN,
CVE-2019-9460,2020-06-05,A-66876469 [*](#asterisk),N/A,Moderate,N/A,ualcomm components,Display,
CVE-2019-14073,2020-06-05,A-145546513 [*](#asterisk),N/A,Critical,N/A,closed-source-components,Closed-source component,
CVE-2019-14080,2020-06-05,A-145545821 [*](#asterisk),N/A,Critical,N/A,closed-source-components,Closed-source component,
CVE-2019-10597,2020-06-05,A-145545755 [*](#asterisk),N/A,High,N/A,closed-source-components,Closed-source component,
CVE-2019-14062,2020-06-05,A-145545091 [*](#asterisk),N/A,High,N/A,closed-source-components,Closed-source component,
CVE-2019-14076,2020-06-05,A-145545285 [*](#asterisk),N/A,High,N/A,closed-source-components,Closed-source component,
CVE-2020-3614,2020-06-05,A-140973436 [*](#asterisk),N/A,High,N/A,closed-source-components,Closed-source component,
CVE-2020-3626,2020-06-05,A-150697952 [*](#asterisk),N/A,High,N/A,closed-source-components,Closed-source component,
CVE-2020-3628,2020-06-05,A-150695508 [*](#asterisk),N/A,High,N/A,closed-source-components,Closed-source component,
CVE-2020-3635,2020-06-05,A-148817146 [*](#asterisk),N/A,High,N/A,closed-source-components,Closed-source component,
CVE-2020-3642,2020-06-05,A-150697435 [*](#asterisk),N/A,High,N/A,closed-source-components,Closed-source component,
CVE-2020-3658,2020-06-05,A-150697838 [*](#asterisk),N/A,High,N/A,closed-source-components,Closed-source component,
CVE-2020-3660,2020-06-05,A-150695050 [*](#asterisk),N/A,High,N/A,closed-source-components,Closed-source component,
CVE-2020-3661,2020-06-05,A-150695169 [*](#asterisk),N/A,High,N/A,closed-source-components,Closed-source component,
CVE-2020-3662,2020-06-05,A-150696661 [*](#asterisk),N/A,High,N/A,closed-source-components,Closed-source component,
CVE-2020-3663,2020-06-05,A-150697436 [*](#asterisk),N/A,High,N/A,closed-source-components,Closed-source component,
CVE-2020-3676,2020-06-05,A-152310294 [*](#asterisk),N/A,High,N/A,closed-source-components,Closed-source component,
CVE-2020-0096,2020-05-01,[A-145669109](https://android.googlesource.com/platform/frameworks/base/+/a952197bd161ac0e03abc6acb5f48e4ec2a56e9d) [2](https://android.googlesource.com/platform/frameworks/base/+/7fc95f204527ee079c5891d56c969668f0b35a0b),EoP,Critical,"8.0, 8.1, 9",framework,N/A,
CVE-2020-0097,2020-05-01,[A-145981139](https://android.googlesource.com/platform/frameworks/base/+/8d0ae5c65cbcd72a820215eaeb50fcbc0dc531a8) [2](https://android.googlesource.com/platform/frameworks/base/+/f98e1086f5a039d98becf7203367b663e72d09f5) [3](https://android.googlesource.com/platform/frameworks/base/+/058cafe0c1f61e8edd25ba22e2c8e73a43c5d4ad),EoP,High,"9, 10",framework,N/A,
CVE-2020-0098,2020-05-01,[A-144285917](https://android.googlesource.com/platform/frameworks/base/+/5deb172bf4d9e2b80cda0b8dd5d2b0573e1c86e9),EoP,High,"8.0, 8.1, 9, 10",framework,N/A,
CVE-2020-0094,2020-05-01,[A-148223871](https://android.googlesource.com/platform/frameworks/av/+/64212a424b4819efb3b6c66e14f6b2b1b1023d4f),EoP,High,"9, 10",media-framework,N/A,
CVE-2020-0093,2020-05-01,[A-148705132](https://android.googlesource.com/platform/external/libexif/+/0335ffc17f9b9a4831c242bb08ea92f605fde7a6),ID,High,"8.0, 8.1, 9, 10",media-framework,N/A,
CVE-2020-0100,2020-05-01,[A-150156584](https://android.googlesource.com/platform/frameworks/av/+/cf4c5675c2c7ab822ed1ff12350c78575153f3cb),ID,High,"8.0, 8.1",media-framework,N/A,
CVE-2020-0101,2020-05-01,[A-144767096](https://android.googlesource.com/platform/frameworks/av/+/63889889c06e95529432177c457d6cdb4fcecac8),ID,High,"8.0, 8.1, 9, 10",media-framework,N/A,
CVE-2020-0103,2020-05-01,[A-148107188](https://android.googlesource.com/platform/system/bt/+/89321d6f0d47724dc7f0c17f7d7302d1fe75086b),RCE,Critical,"9, 10",system,N/A,
CVE-2020-0102,2020-05-01,[A-143231677](https://android.googlesource.com/platform/system/bt/+/6b7373a32e0a0628b497c1fbec5141ca47ef61b5),EoP,High,"8.0, 8.1, 9, 10",system,N/A,
CVE-2020-0109,2020-05-01,[A-148059175](https://android.googlesource.com/platform/frameworks/base/+/adc39de3a148a2058d63bd7a1b8b71ee0a3524ac),EoP,High,"9, 10",system,N/A,
CVE-2020-0105,2020-05-01,[A-144285084](https://android.googlesource.com/platform/system/security/+/1642dc003964aed54724d17d840f883f0537cebd),EoP,High,"9, 10",system,N/A,
CVE-2020-0024,2020-05-01,[A-137015265](https://android.googlesource.com/platform/packages/apps/Settings/+/3c6a3011fa797bc00e5246b04e961847c0e60a1c) [2](https://android.googlesource.com/platform/packages/apps/Settings/+/abe9cee25ecda73b84c6baad1fa631bf3a47572b),EoP,High,"8.0, 8.1, 9, 10",system,N/A,
CVE-2020-0092,2020-05-01,[A-145135488](https://android.googlesource.com/platform/frameworks/base/+/2a81aed66366c2d38feb7be05d355ff819e60355),ID,High,10,system,N/A,
CVE-2020-0106,2020-05-01,[A-148414207](https://android.googlesource.com/platform/packages/services/Telephony/+/460a6de550d7e78ffb3032b92fdb05845c10ef06),ID,High,10,system,N/A,
CVE-2020-0104,2020-05-01,[A-144430870](https://android.googlesource.com/platform/frameworks/base/+/576c4d816c8efe8b9bf7dc88880d8ccde3beacee),ID,Moderate,"9, 10",system,N/A,
CVE-2020-0110,2020-05-05,A-148159562 [Upstream kernel](https://android-review.googlesource.com/c/kernel/common/+/1243775),EoP,High,N/A,kernel components,Kernel Scheduler,
CVE-2019-19536,2020-05-05,A-146642883 [Upstream kernel](https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=ead16e53c2f0ed946d82d4037c630e2f60f4ab69),ID,High,N/A,kernel components,PCAN-USB driver,
CVE-2020-0064,2020-05-05,A-149866855 [*](#asterisk),ID,High,N/A,mediatek,Omacp,
CVE-2020-0065,2020-05-05,A-149813448 [*](#asterisk),ID,High,N/A,mediatek,Android suite daemon,
CVE-2020-0090,2020-05-05,A-149813048 [*](#asterisk),ID,High,N/A,mediatek,Email,
CVE-2020-0091,2020-05-05,A-149808700 [*](#asterisk),ID,High,N/A,mediatek,mnld,
CVE-2019-14053,2020-05-05,A-143902261 [QC-CR#2317498](https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=a7afe21e5d65c74c7eacb6e577fa5cf78f8685fd),N/A,High,N/A,qualcomm-components,Kernel,
CVE-2019-14087,2020-05-05,A-145546454 [QC-CR#2165928](https://source.codeaurora.org/quic/la/platform/hardware/qcom/display/commit/?id=576a22370f673ac9aacc1d677a9a9d2a46ed05d2),N/A,High,N/A,qualcomm-components,Display,
CVE-2020-3610,2020-05-05,A-148816869 [QC-CR#2460844](https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=ae24933f4e3fd58ecbdd1463004f6112e7482793) [2](https://source.codeaurora.org/quic/la/kernel/msm-3.18/commit/?id=f7302f8f1faa9707e2910240e81b2f13a242b518),N/A,High,N/A,qualcomm-components,Display,
CVE-2020-3615,2020-05-05,A-148817147 [QC-CR#2256679](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=8874df976ef96d715ea55d09676ff7b7fd338b13) [2](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=7d26ce95237b080353500f372c6aab29973227a4) [QC-CR#2258844](https://source.codeaurora.org/quic/le/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=1c2fcb1ea491301a8fb455d8c7fd2238c23dfc3d),N/A,High,N/A,qualcomm-components,WLAN,
CVE-2020-3623,2020-05-05,A-148815534 [*](#asterisk),N/A,High,N/A,qualcomm-components,Security,
CVE-2020-3625,2020-05-05,A-148816727 [*](#asterisk),N/A,High,N/A,qualcomm-components,Security,
CVE-2020-3630,2020-05-05,A-148816037 [QC-CR#2534752](https://source.codeaurora.org/quic/la/kernel/msm-4.14/commit/?id=930959cc4bda673339f28e52110980cbdbec447a) [2](https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=056eb4a22db429af8445ee5aeda9976afdc86e98),N/A,High,N/A,qualcomm-components,Video,
CVE-2020-3680,2020-05-05,A-144350801 [QC-CR#2597382](https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=dc2091e9e4af87e8edaa328ec3a7192198b75669),N/A,High,N/A,qualcomm-components,Kernel,
CVE-2020-3641,2020-05-05,A-148816624 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source,Closed-source component,
CVE-2019-14054,2020-05-05,A-143902264 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source,Closed-source component,
CVE-2019-14066,2020-05-05,A-143903296 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source,Closed-source component,
CVE-2019-14067,2020-05-05,A-143902707 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source,Closed-source component,
CVE-2019-14077,2020-05-05,A-143903001 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source,Closed-source component,
CVE-2019-14078,2020-05-05,A-143902885 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source,Closed-source component,
CVE-2020-3616,2020-05-05,A-148816292 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source,Closed-source component,
CVE-2020-3618,2020-05-05,A-148817245 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source,Closed-source component,
CVE-2020-3633,2020-05-05,A-148816216 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source,Closed-source component,
CVE-2020-3645,2020-05-05,A-148816217 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source,Closed-source component,
CVE-2020-0080,2020-04-01,[A-144092031](https://android.googlesource.com/platform/frameworks/base/+/40dd65db3996399530cf549b3afe0c3a5f884b78),EoP,High,10,framework,N/A,
CVE-2020-0081,2020-04-01,[A-144028297](https://android.googlesource.com/platform/cts/+/22cbc0fee280788c367aa897cd2518ce82656ace) [2](https://android.googlesource.com/platform/frameworks/base/+/5f6b5390aeb51297e4dcb995c8fbbdc46559b8b7),EoP,High,"8.0, 8.1, 9, 10",framework,N/A,
CVE-2020-0082,2020-04-01,[A-140417434](https://android.googlesource.com/platform/frameworks/base/+/3484a2dd5c380c9ef7a2a6e6113a1ef01f2f7aed),EoP,High,10,framework,N/A,
CVE-2019-5018,2020-04-01,[A-140180629](https://android.googlesource.com/platform/cts/+/10b9488de1ac87f8122289c3abbae6fcd193a302) [2](https://android.googlesource.com/platform/external/sqlite/+/678cc662682a24c7c8505794fe5cc26407b646b9),EoP,High,"8.0, 8.1, 9, 10",framework,N/A,
CVE-2019-8457,2020-04-01,[A-140182003](https://android.googlesource.com/platform/cts/+/10b9488de1ac87f8122289c3abbae6fcd193a302) [2](https://android.googlesource.com/platform/external/sqlite/+/678cc662682a24c7c8505794fe5cc26407b646b9),ID,High,"8.0, 8.1, 9, 10",framework,N/A,
CVE-2019-9936,2020-04-01,[A-140181188](https://android.googlesource.com/platform/cts/+/10b9488de1ac87f8122289c3abbae6fcd193a302) [2](https://android.googlesource.com/platform/external/sqlite/+/678cc662682a24c7c8505794fe5cc26407b646b9),ID,Moderate,"8.0, 8.1, 9, 10",framework,N/A,
CVE-2020-0078,2020-04-01,[A-144766455](https://android.googlesource.com/platform/frameworks/av/+/fe8b9a7cb32f739e3855c51c8803590908a1da9c),EoP,High,"9, 10",media-framework,N/A,
CVE-2020-0079,2020-04-01,[A-144506242](https://android.googlesource.com/platform/frameworks/av/+/bcd4eaae518a8185726fd440fca9e3b6eee6a1ff),EoP,High,"9, 10",media-framework,N/A,
CVE-2020-0070,2020-04-01,[A-148159613](https://android.googlesource.com/platform/system/nfc/+/0aec6aed3031f60da3c4756d70611850011807b7),RCE,Critical,"8.0, 8.1, 9, 10",system,N/A,
CVE-2020-0071,2020-04-01,[A-147310721](https://android.googlesource.com/platform/system/nfc/+/0aec6aed3031f60da3c4756d70611850011807b7),RCE,Critical,"8.0, 8.1, 9, 10",system,N/A,
CVE-2020-0072,2020-04-01,[A-147310271](https://android.googlesource.com/platform/system/nfc/+/c67bf186efc538995740dcf667eaa39ab801157f) [2](https://android.googlesource.com/platform/system/nfc/+/0aec6aed3031f60da3c4756d70611850011807b7),RCE,Critical,"8.0, 8.1, 9, 10",system,N/A,
CVE-2020-0073,2020-04-01,[A-147309942](https://android.googlesource.com/platform/system/nfc/+/c67bf186efc538995740dcf667eaa39ab801157f),RCE,Critical,"8.0, 8.1, 9, 10",system,N/A,
CVE-2019-2056,2020-04-05,A-140879284 [*](#asterisk),ID,High,10,framework-05,N/A,
CVE-2019-19524,2020-04-05,A-146258053 [Upstream kernel](https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=fa3a5a1880c91bb92594ad42dfe9eedad7996b86),EoP,High,N/A,kernel-components,USB input driver,
CVE-2019-19532,2020-04-05,A-146258320 [Upstream kernel](https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=d9d4b1e46d9543a82c23f6df03f4ad697dab361b),EoP,High,N/A,kernel-components,USB HID drivers,
CVE-2019-19807,2020-04-05,A-146482218 [Upstream kernel](https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=e7af6307a8a54f0b873960b32b6a644f2d0fbd97),EoP,High,N/A,kernel-components,Audio Subsystem,
CVE-2020-0076,2020-04-05,A-146056878 [*](#asterisk),EoP,High,N/A,fpc-components,FPC Iris TZ App,
CVE-2020-0075,2020-04-05,A-146057864 [*](#asterisk),ID,Moderate,N/A,fpc-components,FPC Iris TZ App,
CVE-2020-0077,2020-04-05,A-146055840 [*](#asterisk),ID,Moderate,N/A,fpc-components,FPC Iris TZ App,
CVE-2019-14131,2020-04-05,A-147103218 [QC-CR#2564485](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=99a1b58a1f9f6420cf1400f2399643310cf70e2b),N/A,Critical,N/A,qualcomm-components,WLAN,
CVE-2019-14070,2020-04-05,A-147101660 [QC-CR#2508568](https://source.codeaurora.org/quic/la/kernel/msm-4.4/commit?id=1c9afab264e3cafa461d746e9dcfd3c0487754cb) [2](https://source.codeaurora.org/quic/la/kernel/msm-4.4/commit/?id=42ffbf03ec54dc14824d078f36c350b24c217f8d),N/A,High,N/A,qualcomm-components,Audio,
CVE-2019-14104,2020-04-05,A-147103377 [QC-CR#2245986](https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=9910e89b27224fbddbf7d15d307597e13d9b9258),N/A,High,N/A,qualcomm-components,Camera,
CVE-2019-14122,2020-04-05,A-147102901 [QC-CR#2538911](https://source.codeaurora.org/quic/la/kernel/msm-4.14/commit/?id=870f0ba0fc05bc6ebac1486b39dc9d94c993eafb),N/A,High,N/A,qualcomm-components,Kernel,
CVE-2019-14132,2020-04-05,A-147104052 [QC-CR#2455671](https://source.codeaurora.org/quic/le/platform/hardware/qcom/media/commit/?id=9e80e1db4b56b42f9150d4d51166560d10839f5f),N/A,High,N/A,qualcomm-components,Video,
CVE-2020-3651,2020-04-05,A-148816872 [QC-CR#2291442](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=6c909ebd4482fa961cad153fb5ce313ba9e4a6ae),N/A,High,N/A,qualcomm-components,WLAN,
CVE-2019-10575,2020-04-05,A-142272251 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-10588,2020-04-05,A-142271575 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-10609,2020-04-05,A-142269795 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14110,2020-04-05,A-147104254 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14111,2020-04-05,A-147103017 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14112,2020-04-05,A-147102781 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14113,2020-04-05,A-147103217 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14114,2020-04-05,A-147102843 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-10483,2020-04-05,A-142270890 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-10551,2020-04-05,A-142270356 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-10589,2020-04-05,A-142271556 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-10608,2020-04-05,A-142270891 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-10610,2020-04-05,A-142271388 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14001,2020-04-05,A-142272252 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14007,2020-04-05,A-142269788 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14009,2020-04-05,A-142271546 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14011,2020-04-05,A-142268825 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14012,2020-04-05,A-142270102 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14018,2020-04-05,A-142271911 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14019,2020-04-05,A-142272129 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14020,2020-04-05,A-142271277 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14021,2020-04-05,A-142271809 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14022,2020-04-05,A-142271458 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14033,2020-04-05,A-142271279 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14075,2020-04-05,A-145546514 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14105,2020-04-05,A-147104252 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14127,2020-04-05,A-147103871 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14134,2020-04-05,A-147102923 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-14135,2020-04-05,A-147104050 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2020-3651,2020-04-05,A-148816543 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2020-0031,2020-03-01,[A-141703197](https://android.googlesource.com/platform/cts/+/4534471b6c16a5676b85b76452d287667175c1ee) [2](https://android.googlesource.com/platform/frameworks/base/+/514271fd61e4219e99a8e5306cdc7b80c3c1c445),ID,High,10,framework,N/A,
CVE-2020-0032,2020-03-01,[A-145364230](https://android.googlesource.com/platform/external/libavc/+/ffcf2a87d66f935210ebd011eed474514d086b40),RCE,Critical,"8.0, 8.1, 9, 10",media-framework,N/A,
CVE-2020-0033,2020-03-01,[A-144351324](https://android.googlesource.com/platform/hardware/interfaces/+/d79abbb0d359dd037e6d0b4cc022fd26cea3ebaa),EoP,High,"8.0, 8.1, 9, 10",media-framework,N/A,
CVE-2020-0034,2020-03-01,[A-62458770](https://android.googlesource.com/platform/external/libvpx/+/30d0c20d0d04151530de62df3937de27c4f204fd),ID,High,"8.0, 8.1",media-framework,N/A,
CVE-2020-0036,2020-03-01,[A-144679405](https://android.googlesource.com/platform/frameworks/base/+/9352cb24b1afaec657faeffdb0d40ed96d4d912b),EoP,High,"8.0, 8.1, 9, 10",system,N/A,
CVE-2020-0035,2020-03-01,[A-140622024](https://android.googlesource.com/platform/packages/providers/TelephonyProvider/+/099c68c403c470aaafd3a0f7d4bdf69c873d4740),ID,High,"8.0, 8.1, 9",system,N/A,
CVE-2020-0029,2020-03-01,[A-140065828](https://android.googlesource.com/platform/frameworks/opt/net/wifi/+/2cda452b868328c4600a3d75759968c246cb47c8),ID,High,10,system,N/A,
CVE-2020-0037,2020-03-01,[A-143106535](https://android.googlesource.com/platform/system/nfc/+/712dcda25084434ffd3e1e0df6c0f7e65441b7f1),ID,High,"8.0, 8.1, 9, 10",system,N/A,
CVE-2020-0038,2020-03-01,[A-143109193](https://android.googlesource.com/platform/system/nfc/+/712dcda25084434ffd3e1e0df6c0f7e65441b7f1),ID,High,"8.0, 8.1, 9, 10",system,N/A,
CVE-2020-0039,2020-03-01,[A-143155861](https://android.googlesource.com/platform/system/nfc/+/712dcda25084434ffd3e1e0df6c0f7e65441b7f1),ID,High,"8.0, 8.1, 9, 10",system,N/A,
CVE-2020-0032,2020-03-01,N/A,N/A,N/A,N/A,google-play-system-updates,Media codecs,
CVE-2019-19527,2020-03-05,A-146257915 [Upstream kernel](https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=6d4472d7bec39917b54e4e80245784ea5d60ce49) [2](https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=9c09b214f30e3c11f9b0b03f89442df03643794d),EoP,High,N/A,kernel-components,USB,
CVE-2019-19537,2020-03-05,A-146258055 [Upstream kernel](https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=303911cfc5b95d33687d9046133ff184cf5043ff),EoP,High,N/A,kernel-components,USB,
CVE-2019-15239,2020-03-05,A-143009752 [Upstream kernel](https://android.googlesource.com/kernel/common/+/3ed1460d6b17326093eb657afa89a7274e444a32),EoP,High,N/A,kernel-components,Networking,
CVE-2020-0041,2020-03-05,A-145988638 [Upstream kernel](https://lore.kernel.org/lkml/20191213202531.55010-1-tkjos@google.com/),EoP,High,N/A,kernel-components,Binder,
CVE-2020-0010,2020-03-05,A-137014293 [*](#asterisk),EoP,High,N/A,fpc-components,FPC Fingerprint TEE,
CVE-2020-0011,2020-03-05,A-137648045 [*](#asterisk),EoP,High,N/A,fpc-components,FPC Fingerprint TEE,
CVE-2020-0012,2020-03-05,A-137648844 [*](#asterisk),EoP,High,N/A,fpc-components,FPC Fingerprint TEE,
CVE-2020-0042,2020-03-05,A-137649599 [*](#asterisk),ID,Moderate,N/A,fpc-components,FPC Fingerprint TEE,
