Retail Branding,Marketing Name,Device,Model
Huawei,,hwu8650,HuaweiU8650
Huawei,,hwu8650,Kyivstar Aqua
Huawei,,hwu8650,MTC 955
Huawei,,hwu8650,SONIC
Huawei,,hwu8650,Turkcell T20
Huawei,,hwu8650,U8650
Huawei,,hwu8650,U8650-1
Huawei,,hwu8651,Astro
Huawei,,hwu8651,Prism
Huawei,,hwu8651,U8651
Huawei,,hwu8651,U8651T
Huawei,,hwu8652-51,U8652-51
Huawei,,hwu8655,Etisalat
Huawei,,hwu8655,HUAWEI IDEOS Y 200
Huawei,,hwu8655,Personal U8655-51
Huawei,,hwu8655,STARTRAIL II
Huawei,,hwu8655,U8655
Huawei,,hwu8655,U8655-1
Huawei,,hwu8655,U8655-51
Huawei,,hwu8660,SONIC
Huawei,,hwu8661,HUAWEI U8661
Huawei,,hwu8666,MTC Fit
Huawei,,hwu8666,U8666-1
Huawei,,hwu8666,U8666-51
Huawei,,hwu8666-51,U8666-51
Huawei,,hwu8666e,HUAWEI U8666E
Huawei,,hwu8666e,MegaFon SP-A3
Huawei,,hwu8666e-51,HUAWEI U8666E
Huawei,,hwu8666e-51,HUAWEI U8666E-51
Huawei,,hwu8666n,HUAWEI U8666N
Huawei,,hwu8667,U8667
Huawei,,hwu8680,T-Mobile myTouch
Huawei,,hwu8681,HUAWEI U8681
Huawei,,hwu8730,T-Mobile myTouch Q
Huawei,,hwu8800,IDEOS X5
Huawei,,hwu8800,MTC Neo
Huawei,,hwu8800,U8800
Huawei,,hwu8800,Ucell
Huawei,,hwu8800,u8800
Huawei,,hwu8800Pro,HUAWEI_IDEOS_X5
Huawei,,hwu8800Pro,HuaweiU8800Pro
Huawei,,hwu8800Pro,IDEOS X5
Huawei,,hwu8800Pro,MTC Neo
Huawei,,hwu8800Pro,RBM_HD
Huawei,,hwu8800Pro,U8800 Pro
Huawei,,hwu8800Pro,U8800Pro
Huawei,,hwu8815,HUAWEI Ascend G 300
Huawei,,hwu8815,HUAWEI U8815
Huawei,,hwu8815,HUAWEI_Ascend G 300
Huawei,,hwu8815,Personal U8815-51
Huawei,,hwu8815,U8815
Huawei,,hwu8815,U8815-51
Huawei,,hwu8815n,HUAWEI U8815N
Huawei,,hwu8815n,U8815N
Huawei,,hwu8816,MTC Viva
Huawei,,hwu8816,U8816
Huawei,,hwu8818,HUAWEI U8818
Huawei,,hwu8818,U8818
Huawei,,hwu8820,U8820
Huawei,,hwu8825-1,Bs 401
Huawei,,hwu8825-1,HUAWEI Ascend G 330
Huawei,,hwu8825-1,HUAWEI U8825-1
Huawei,,hwu8825D,HUAWEI U8825D
Huawei,,hwu8850,007HW
Huawei,,hwu8860,GS02
Huawei,,hwu8860,HUAWEI_U8860
Huawei,,hwu8860,TURKCELL MaxiPRO5
Huawei,,hwu8860,U8860
Huawei,,hwu8860,U8860-51
Huawei,,hwu8867Z,U8867Z
Huawei,,hwu8950-1,HUAWEI U8950-1
Huawei,,hwu8950-51,HUAWEI U8950-51
Huawei,,hwu8950D,HUAWEI U8950D
Huawei,,hwu8950N-1,HUAWEI U8950N-1
Huawei,,hwu8950N-51,HUAWEI U8950N-51
Huawei,,hwu9200,U9200
Huawei,,hwu9200,U9200E
Huawei,,hwu9200-92,GS03
Huawei,,hwu9200-92,U9200
Huawei,,hwu9200E,U9200E
Huawei,,hwu9201L,201HW
Huawei,,hwu9500,U9500E
Huawei,,hwu9501L,HW-01E
Huawei,,hwu9508,HUAWEI U9508
Huawei,,hwu9510,HUAWEI U9510
Huawei,,hwu9510,U9510
Huawei,,hwu9510e,HUAWEI U9510E
Huawei,,hwu9700L,GL07S
Huawei,,hwum840,UM840
Huawei,,hwy210-0010,HUAWEI Y210-0010
Huawei,,hwy210-0100,HUAWEI Ascend Y 210
Huawei,,hwy210-0100,HUAWEI Y210-0100
Huawei,,hwy210-0151,HUAWEI Y210-0151
Huawei,,hwy210-0200,HUAWEI Ascend Y 210D
Huawei,,hwy210-0200,HUAWEI Asend Y 210D
Huawei,,hwy210-0200,HUAWEI Y210-0200
Huawei,,hwy210-0200,Leopard MF808
Huawei,,hwy210-0200,NATCOM N8302
Huawei,,hwy210-0200,VIETTEL V8404
Huawei,,hwy210-0251,HUAWEI Y210-0251
Huawei,,hwy210-2010,HUAWEI Y210-2010
Huawei,,msm7201a,Pulse
Huawei,,msm7201a,U8230
Huawei,,msm7225,Beeline_E300
Huawei,,msm7225,Grameenphone Crystal
Huawei,,msm7225,HUAWEI IDEOS U8500
Huawei,,msm7225,HUAWEI_IDEOS_U8500
Huawei,,msm7225,Huawei
Huawei,,msm7225,HuaweiU8300
Huawei,,msm7225,Ideos
Huawei,,msm7225,MTC Evo
Huawei,,msm7225,Pulse Mini
Huawei,,msm7225,RBM C
Huawei,,msm7225,S31HW
Huawei,,msm7225,Smile
Huawei,,msm7225,Tactile internet
Huawei,,msm7225,Turkcell T10
Huawei,,msm7225,U8110
Huawei,,msm7225,U8300
Huawei,,msm7225,U8500
Huawei,,msm7225,Vodafone 845
Huawei,,msm7227,004HW
Huawei,,msm7230,IDEOS X5
Huawei,,msm7230,u8800
Huawei,,msm7625,C8600
Huawei,,msm7625,HUAWEI-M860
Huawei,,msm7625,Ideos
Huawei,,msm7625,M860
Huawei,,msm7625,U8180
Huawei,,orinoquiac8688V,ORINOQUIA C8688V
Huawei,,qsd8k_s7,HUAWEI-S7
Huawei,,qsd8k_s7,IDEOS S7
Huawei,,qsd8k_s7,Ideos S7
Huawei,,qsd8k_s7,Oysters SmaKit S7
Huawei,,qsd8k_s7,S7
Huawei,,qsd8k_slim,IDEOS S7 Slim
Huawei,,u8800,u8800
Huawei,A199,hwa199,HUAWEI A199
Huawei,ATH-TL00,HWATH,ATH-TL00
Huawei,ATH-TL00H,HWATH,ATH-TL00H
Huawei,ATH-UL00,HWATH,ATH-UL00
Huawei,Ascend D,hwu9500,U9500
Huawei,Ascend G510,hwG510-0251,HUAWEI G510-0251
Huawei,Ascend G525,hwG525-U00,HUAWEI Ascend G525
Huawei,Ascend G525,hwG525-U00,HUAWEI G525-U00
Huawei,B199,hwB199,HUAWEI B199
Huawei,C199,hwC199,HUAWEI C199
Huawei,C199s,hwC199s,HUAWEI C199s
Huawei,C8812,hwc8812,HUAWEI C8812
Huawei,C8813D,hwc8813,HUAWEI C8813D
Huawei,C8813DQ,hwC8813DQ,HUAWEI C8813DQ
Huawei,C8815,hwC8815,HUAWEI C8815
Huawei,C8816,hwC8816,HUAWEI C8816
Huawei,C8816D,hwC8816D,HUAWEI C8816D
Huawei,C8817D,hwC8817D,C8817D
Huawei,C8817E,hwC8817E,HUAWEI C8817E
Huawei,C8817L,hwC8817L,HUAWEI C8817L
Huawei,C8818,hwC8818,HUAWEI C8818
Huawei,C8826D,hwc8826D,HUAWEI C8826D
Huawei,C8850,hwc8850,HUAWEI-C8850
Huawei,CHC-U03,hwCHC-H,CHC-U03
Huawei,CHC-U23,hwCHC-H,CHC-U23
Huawei,CHM-CL00,hwCHM-Q,CHM-CL00
Huawei,CHM-U01,hwCHM-H,CHM-U01
Huawei,CM990,hwCM990,CM990
Huawei,CUN-AL00,HWCUN-L6735,CUN-AL00
Huawei,CUN-TL00,HWCUN-L6735,CUN-TL00
Huawei,Che1-CL10,Che1,Che1-CL10
Huawei,Che1-CL20,Che1,Che1-CL20
Huawei,Che1-L04,Che1,Che1-L04
Huawei,Che2-L11,hwChe2,Che2-L11
Huawei,Che2-L23,hwChe2,Che2-L23
Huawei,Che2-TL00,hwChe2,Che2-TL00
Huawei,Che2-TL00H,hwChe2,Che2-TL00H
Huawei,Che2-TL00M,hwChe2,Che2-TL00M
Huawei,Che2-UL00,hwChe2,Che2-UL00
Huawei,Cherry Mini,hwCHC-H,CHC-U01
Huawei,China,m330,M330
Huawei,Copper Plus,HWH1611-Q,H1611
Huawei,Copper Plus,HWH1611-Q,HUAWEI H1611
Huawei,D2,hwD2-0082,HUAWEI D2-0082
Huawei,D2,hwD2-2010,HUAWEI D2-2010
Huawei,D2,hwD2-6070,HUAWEI D2-6070
Huawei,DAV,HWP8max,HUAWEI P8max
Huawei,ECO,HWLUA-L6735,HUAWEI LUA-L03
Huawei,ECO,HWLUA-L6735,HUAWEI LUA-L13
Huawei,ECO,HWLUA-L6735,HUAWEI LUA-L23
Huawei,ECO,HWLUA-U6582,HUAWEI LUA-U03
Huawei,ECO,HWLUA-U6582,HUAWEI LUA-U23
Huawei,ES8100,hwes8100,ES8100
Huawei,ES8500,hwes8500,HuaweiES8500
Huawei,FIG-LX1,HWFIG-H,FIG-LX1
Huawei,FRD-L02,HWFRD,FRD-L02
Huawei,Fusion 2,hwu8665,Huawei-U8665
Huawei,G350,hwg350,HUAWEI G350
Huawei,G350,hwg350,HUAWEI G350-U00
Huawei,G350-U20,HWG350,HUAWEI G350-U20
Huawei,G506,hwG506-U151,HUAWEI G506-U151
Huawei,G510,hwG510-0010,HUAWEI G510-0010
Huawei,G510,hwG510-0100,HUAWEI G510-0100
Huawei,G510,hwG510-0100,HuaweiG510-0100
Huawei,G510,hwG510-0100,HuaweiG510-0100-orange
Huawei,G510,hwG510-0200,HUAWEI Ascend G510
Huawei,G510,hwG510-0200,HUAWEI G510-0200
Huawei,G510,hwG510-0200,Orange Daytona
Huawei,G520,hwG520-5000,HUAWEI G520-5000
Huawei,G521-L076,HWG521-L,HUAWEI G521-L076
Huawei,G521-L176,HWG521-L,HUAWEI G521-L176
Huawei,G526,hwG526-L11,G526-L11
Huawei,G526,hwG526-L22,G526-L22
Huawei,G526,hwG526-L33,G526-L33
Huawei,G527,hwG527-U081,G527-U081
Huawei,G535-L11,hwG535-L11,HUAWEI G535-L11
Huawei,G535-L11,hwG535-L11,Kestrel
Huawei,G535-L11,hwG535-L11,Orange Gova
Huawei,G535-L11,hwG535-L11,Speedsurfer
Huawei,G535-L11,hwG535-L11,Ultym5
Huawei,G6,hwG6-T00,HUAWEI G6-T00
Huawei,G6-C00,hwG6-C00,HUAWEI G6-C00
Huawei,G6-L11,hwG6-L11,HUAWEI G6-L11
Huawei,G6-L22,hwG6-L22,HUAWEI G6-L22
Huawei,G6-L33,hwG6-L33,HUAWEI G6-L33
Huawei,G6-U00,hwG6-U00,HUAWEI G6-U00
Huawei,G6-U10,hwG6-U10,HUAWEI G6-U10
Huawei,G6-U251,hwG6-U251,HUAWEI G6-U251
Huawei,G6-U34,hwG6-U34,HUAWEI G6-U34
Huawei,G606,HWG606,HUAWEI G606-T00
Huawei,G606-T00,HWG606-T00,HUAWEI G606-T00
Huawei,G610,hwG610-T00,HUAWEI G610-T00
Huawei,G610,hwG610-U00,G610-U00
Huawei,G610,hwG610-U00,HUAWEI G610-U00
Huawei,G610,hwG610-U30,HUAWEI G610-U30
Huawei,G610-T01,hwG610-T01,HUAWEI G610-T01
Huawei,G610-T11,hwG610-T11,HUAWEI G610-T11
Huawei,G610-U15,hwG610-U15,HUAWEI G610-U15
Huawei,G610-U20,hwG610-U20,HUAWEI G610-U20
Huawei,G610C,hwG610-C00,HUAWEI G610-C00
Huawei,G615-U10,hwG615-U10,G615-U10
Huawei,G615-U10,hwG615-U10,HUAWEI G615-U10
Huawei,G616-L076,HWG616-L,HUAWEI G616-L076
Huawei,G620-A2,hwG620-A2,HUAWEI G620-A2
Huawei,G620-L72,hwG620-L72,HUAWEI G620-L72
Huawei,G620-L75,hwG620-L75,G620-L75
Huawei,G620S-L01,hwG620S-L01,G620S-L01
Huawei,G620S-L02,hwG620S-L02,G620S-L02
Huawei,G620S-L03,hwG620S-L03,G620S-L03
Huawei,G620S-L03,hwG620S-L03,HUAWEI G620
Huawei,G620S-L03,hwG620S-L03,Personal Huawei G620S
Huawei,G620S-UL00,hwG620S-UL00,G620S-UL00
Huawei,G621-TL00,hwG621-TL00,G621-TL00
Huawei,G621-TL00M,hwG621-TL00,G621-TL00M
Huawei,G628-TL00,HWG628-TL,HUAWEI G628-TL00
Huawei,G629-UL00,HWG629-UL,HUAWEI G629-UL00
Huawei,G630,hwG630-T00,HUAWEI G630-T00
Huawei,G630-U00,hwG630-U00,HUAWEI G630-U00
Huawei,G630-U10,hwG630-U10,G630-U10
Huawei,G630-U20,hwG630-U20,G630-U20
Huawei,G630-U251,hwG630-U251,G630-U251
Huawei,G630-U251,hwG630-U251,HUAWEI G630-U251
Huawei,G660-L075,hwG660-L075,HUAWEI G660-L075
Huawei,G7 Plus,HWRIO,HUAWEI RIO-TL00
Huawei,G7 Plus,HWRIO,HUAWEI RIO-UL00
Huawei,G7-L01,hwG7-L01,G7-L01
Huawei,G7-L01,hwG7-L01,HUAWEI G7-L01
Huawei,G7-L02,hwG7-L02,HUAWEI G7-L02
Huawei,G7-L03,hwG7-L03,G7-L03
Huawei,G7-L03,hwG7-L03,HUAWEI G7
Huawei,G7-L03,hwG7-L03,HUAWEI G7-L03
Huawei,G7-L11,hwG7-L11,HUAWEI G7-L11
Huawei,G7-TL00,hwG7-TL00,G7-TL00
Huawei,G7-TL00,hwG7-TL00,HUAWEI G7-TL00
Huawei,G7-UL20,hwG7-UL20,HUAWEI G7-UL20
Huawei,G700,hwG700-T00,HUAWEI G700-T00
Huawei,G700,hwG700-U00,HUAWEI G700-U00
Huawei,G700-T01,hwG700-T01,HUAWEI G700-T01
Huawei,G700-U10,hwG700-U10,HUAWEI G700-U10
Huawei,G700-U20,hwG700-U20,HUAWEI G700-U20
Huawei,G716,hwG716-L070,HUAWEI G716-L070
Huawei,G718,hwg718,HUAWEI G718
Huawei,G730,hwG730-C00,HUAWEI G730-C00
Huawei,G730,hwG730-T00,HUAWEI G730-T00
Huawei,G730,hwG730-U00,HUAWEI G730-U00
Huawei,G730-L075,hwG730-L075,HUAWEI G730-L075
Huawei,G730-U10,hwG730-U10,HUAWEI G730-U10
Huawei,G730-U251,hwG730-U251,HUAWEI G730-U251
Huawei,G730-U27,hwG730-U27,HUAWEI G730-U27
Huawei,G730-U30,hwG730-U30,HUAWEI G730-U30
Huawei,G735-L03,hwG735,G735-L03
Huawei,G735-L12,hwG735,G735-L12
Huawei,G735-L23,hwG735,G735-L23
Huawei,G740,hwG740-L00,G740-L00
Huawei,G740,hwG740-L00,Orange Yumo
Huawei,G750-T00,hwG750-T00,HUAWEI G750-T00
Huawei,G750-T01,hwG750-T01,HUAWEI G750-T01
Huawei,G750-T01M,hwG750-T01M,HUAWEI G750-T01M
Huawei,G750-T20,hwG750-T20,HUAWEI G750-T20
Huawei,G750-U10,hwG750-U10,HUAWEI G750-U10
Huawei,G7500,HWG7500,HUAWEI G7500
Huawei,G8,HWRIO,HUAWEI RIO-L02
Huawei,G8,HWRIO,HUAWEI RIO-L03
Huawei,G8,HWRIO,RIO-L03
Huawei,G8,hwRIO-L02,HUAWEI RIO-L02
Huawei,G8,hwRIO-L03,HUAWEI RIO-L03
Huawei,G9 Plus,HWMLA,HUAWEI MLA-TL00
Huawei,G9 Plus,HWMLA,HUAWEI MLA-TL10
Huawei,G9 Plus,HWMLA,HUAWEI MLA-UL00
Huawei,G9 Plus,HWMLA,MLA-TL00
Huawei,G9 Plus,HWMLA,MLA-UL00
Huawei,G9青春版,HWVNS-Q,HUAWEI VNS-AL00
Huawei,GR3,HWTAG-L6753,HUAWEI TAG-L01
Huawei,GR3,HWTAG-L6753,HUAWEI TAG-L03
Huawei,GR3,HWTAG-L6753,HUAWEI TAG-L13
Huawei,GR3,HWTAG-L6753,HUAWEI TAG-L21
Huawei,GR3,HWTAG-L6753,HUAWEI TAG-L22
Huawei,GR3,HWTAG-L6753,HUAWEI TAG-L23
Huawei,GR3 2017,HWDIG-L8940,DIG-L01
Huawei,GR3 2017,HWDIG-L8940,DIG-L21
Huawei,GR3 2017,HWDIG-L8940,DIG-L22
Huawei,GR3 Smart touch,HWTAG-L6753,HUAWEI TAG-L32
Huawei,GR5,HWKII-Q,HUAWEI KII-L03
Huawei,GR5,HWKII-Q,HUAWEI KII-L05
Huawei,GR5,HWKII-Q,HUAWEI KII-L21
Huawei,GR5,HWKII-Q,HUAWEI KII-L22
Huawei,GR5,HWKII-Q,HUAWEI KII-L23
Huawei,GR5,HWKII-Q,HUAWEI KII-L33
Huawei,GR5,HWKII-Q,KII-L21
Huawei,GR5W,HWH1621-Q,H1621
Huawei,GT3,HWNMO-H,HUAWEI NMO-L21
Huawei,GT3,HWNMO-H,HUAWEI NMO-L22
Huawei,GT3,HWNMO-H,HUAWEI NMO-L23
Huawei,GT3,HWNMO-H,HUAWEI NMO-L31
Huawei,GX8,hwRIO-L01,HUAWEI
Huawei,GX8,hwRIO-L01,HUAWEI RIO-L01
Huawei,Gran_Roraima,hws7721u,Orinoquia Gran Roraima + S7-722u
Huawei,H30-C00,hwH30-C00,H30-C00
Huawei,H30-L01,hwH30,HONOR H30-L01
Huawei,H30-L01M,hwH30,HONOR H30-L01M
Huawei,H30-L02,hwH30,H30-L02
Huawei,H30-L02,hwH30,HONOR H30-L02
Huawei,H30-T00,hwH30-T00,H30-T00
Huawei,H60,hwH60,H60-L01
Huawei,H60-J1,hwH60,HW-H60-J1
Huawei,H60-L01,hwH60,H60-L01
Huawei,H60-L02,hwH60,H60-L02
Huawei,H60-L03,hwH60,H60-L03
Huawei,H60-L04,hwH60,H60-L04
Huawei,H60-L11,hwH60,H60-L11
Huawei,H60-L12,hwH60,H60-L12
Huawei,H60-L21,hwH60,H60-L21
Huawei,H60-L21,hwH60-L21,H60-L21
Huawei,H871G,hwh871g,HUAWEI H871G
Huawei,H882L,hwh882l,H882L
Huawei,H891L,hwH891L,HUAWEI H891L
Huawei,H892L,hwH892L,HUAWEI H892L
Huawei,HAUWEI Y5 Lite 2018,HWCAG-L6737M,CAG-L22
Huawei,HONOR 10i,HWHRY-HF,HRY-LX1T
Huawei,HONOR 20,HWYAL,YAL-AL00
Huawei,HONOR 20,HWYAL,YAL-L21
Huawei,HONOR 20,HWYAL,YAL-TL00
Huawei,HONOR 20 LITE,HWMAR,MAR-LX1R
Huawei,HONOR 20 PRO,HWYAL,YAL-AL10
Huawei,HONOR 20 PRO,HWYAL,YAL-L41
Huawei,HONOR 20S,HWMAR,MAR-LX1H
Huawei,HONOR 20e,HWHRY-HF,HRY-LX1T
Huawei,HONOR 20i,HWHRY-HF,HRY-AL00Ta
Huawei,HONOR 4X,hwChe2,Che2-L12
Huawei,HONOR 8A Pro,HWJAT-M,JAT-L29
Huawei,HONOR 8A Pro,HWJAT-M,JAT-L41
Huawei,HONOR 8A Pro,HWJAT-M,JAT-LX1
Huawei,HONOR 8A Pro,HWJAT-M,JAT-LX3
Huawei,HONOR 8S,HWKSA-M,KSA-LX2
Huawei,HONOR 8S,HWKSA-M,KSA-LX3
Huawei,HONOR 8S,HWKSA-M,KSA-LX9
Huawei,HONOR 9A,HWDUB-Q,DUB-LX1
Huawei,HONOR 9X,HWSTK-HF,STK-L22
Huawei,HONOR 9X,HWSTK-HF,STK-LX1
Huawei,HONOR 9X,HWSTK-HF,STK-LX3
Huawei,HONOR 9X Lite,HWJSN-H,JSN-L21
Huawei,HONOR 9X lite,HWJSN-H,JSN-L21
Huawei,HONOR 9X lite,HWJSN-H,JSN-L22
Huawei,HONOR 9X lite,HWJSN-H,JSN-L23
Huawei,HONOR V20,HWPCT,PCT-TL10
Huawei,HONOR View20,HWPCT,PCT-AL10
Huawei,HONOR View20,HWPCT,PCT-L29
Huawei,HUAWEI G Elite Plus,HWSLA-Q,SLA-L03
Huawei,HUAWEI GR5 2017,HWBLN-H,BLL-L21
Huawei,HUAWEI GR5 2017,HWBLN-H,BLL-L22
Huawei,HUAWEI GR5 2017,HWBLN-H,HUAWEI BLL-L21
Huawei,HUAWEI GR5 2017,HWBLN-H,HUAWEI BLL-L22
Huawei,HUAWEI Mate 20,HWHMA,HMA-L09
Huawei,HUAWEI Mate 20,HWHMA,HMA-L29
Huawei,HUAWEI Mate 20 Pro,HWLYA,LYA-L0C
Huawei,HUAWEI Mate 20 Pro,HWLYA,LYA-L29
Huawei,HUAWEI Mate 20 X (5G),HWEVR,EVR-AN00
Huawei,HUAWEI Mate 20 X (5G),HWEVR,EVR-N29
Huawei,HUAWEI Mate 20 lite,HWSNE,SNE-LX1
Huawei,HUAWEI Mate 9 lite,HWBLN-H,BLL-L23
Huawei,HUAWEI Mate 9 lite,HWBLN-H,HUAWEI BLL-L23
Huawei,HUAWEI Mate SE,HWBND-H,BND-L34
Huawei,HUAWEI MediaPad M3 Lite,HWCPN-Q,701HW
Huawei,HUAWEI MediaPad M3 Lite,HWCPN-Q,702HW
Huawei,HUAWEI MediaPad M3 Lite,HWCPN-Q,CPN-AL00
Huawei,HUAWEI MediaPad M3 Lite,HWCPN-Q,CPN-L09
Huawei,HUAWEI MediaPad M3 Lite,HWCPN-Q,CPN-W09
Huawei,HUAWEI MediaPad M3 Lite 10 wp,HWHDN-H,HDN-L09
Huawei,HUAWEI MediaPad M3 Lite 10 wp,HWHDN-H,HDN-W09
Huawei,HUAWEI MediaPad M5 10.8,HWCMR09,CMR-AL09
Huawei,HUAWEI MediaPad M5 10.8,HWCMR09,CMR-W09
Huawei,HUAWEI MediaPad M5 8.4,HWSHT,SHT-AL09
Huawei,HUAWEI MediaPad M5 8.4,HWSHT,SHT-W09
Huawei,HUAWEI MediaPad M5 Pro,HWCMR,CMR-AL19
Huawei,HUAWEI MediaPad M5 Pro,HWCMR,CMR-W19
Huawei,HUAWEI MediaPad M5 lite,HWBAH2,BAH2-L09
Huawei,HUAWEI MediaPad M5 lite,HWBAH2,BAH2-W19
Huawei,HUAWEI MediaPad M5 lite,HWJDN2,JDN2-L09
Huawei,HUAWEI MediaPad M5 lite,HWJDN2,JDN2-W09
Huawei,HUAWEI MediaPad T3 10,HWAGS-Q,AGS-L03
Huawei,HUAWEI MediaPad T3 10,HWAGS-Q,AGS-L09
Huawei,HUAWEI MediaPad T3 10,HWAGS-Q,AGS-W09
Huawei,HUAWEI MediaPad T3 7,HWBG2,BG2-U03
Huawei,HUAWEI MediaPad T5,HWAGS2,AGS2-W09
Huawei,HUAWEI Nova 3i,HWINE,INE-LX1
Huawei,HUAWEI P smart,HWFIG-H,FIG-LA1
Huawei,HUAWEI P smart,HWFIG-H,FIG-LX2
Huawei,HUAWEI P smart,HWFIG-H,FIG-LX3
Huawei,HUAWEI P smart 2019,HWPOT-H,POT-LX1
Huawei,HUAWEI P smart 2019,HWPOT-H,POT-LX1AF
Huawei,HUAWEI P smart 2019,HWPOT-H,POT-LX3
Huawei,HUAWEI P smart 2020,HWPOT-H,POT-LX1A
Huawei,HUAWEI P smart 2020,HWPOT-H,POT-LX3
Huawei,HUAWEI P smart Pro,HWSTK-HF,STK-L21
Huawei,HUAWEI P smart Pro,HWSTK-HF,STK-LX1
Huawei,HUAWEI P smart Z,HWSTK-HF,STK-LX1
Huawei,HUAWEI P smart+ 2019,HWPOT-H,POT-LX1T
Huawei,HUAWEI P20 Lite,HWANE,ANE-LX2J
