系列,机型,类型,版本,地址,大小
小米4S,小米4S,开发版,8.9.13 （MIUI10）,https://bigota.d.miui.com/8.9.13/miui_MI4s_8.9.13_3917a5914d_7.0.zip,1.1G
小米5,小米5,稳定版,V10.2.1.0.OAACNXM （MIUI10）,https://bigota.d.miui.com/V10.2.1.0.OAACNXM/miui_MI5_V10.2.1.0.OAACNXM_b647d74428_8.0.zip,1.6G
小米5,小米5,开发版,8.11.22 （MIUI10）,https://bigota.d.miui.com/8.11.22/miui_MI5_8.11.22_f9ead04910_8.0.zip,1.6G
小米平板2,小米平板2,稳定版,V9.6.1.0.LACCNFD （MIUI9）,https://bigota.d.miui.com/V9.6.1.0.LACCNFD/miui_MIPAD2_V9.6.1.0.LACCNFD_819a4ad663_5.1.zip,816M
小米平板2,小米平板2,开发版,8.4.26 （MIUI9）,https://bigota.d.miui.com/8.4.26/miui_MIPAD2_8.4.26_04142568fe_5.1.zip,811M
红米Note 3,红米Note 3,稳定版,V10.2.1.0.MHOCNXM （MIUI10）,https://bigota.d.miui.com/V10.2.1.0.MHOCNXM/miui_HMNote3Pro_V10.2.1.0.MHOCNXM_57ca0aa257_6.0.zip,1.3G
红米Note 3,红米Note 3,开发版,8.11.22 （MIUI10）,https://bigota.d.miui.com/8.11.22/miui_HMNote3Pro_8.11.22_38aac9b24f_6.0.zip,1.3G
小米4c,小米4c,稳定版,V10.1.1.0.NXKCNFI （MIUI10）,https://bigota.d.miui.com/V10.1.1.0.NXKCNFI/miui_MI4c_V10.1.1.0.NXKCNFI_13b9b312d0_7.0.zip,1.1G
小米4c,小米4c,开发版,8.9.13 （MIUI10）,https://bigota.d.miui.com/8.9.13/miui_MI4c_8.9.13_6a39e99f8c_7.0.zip,1.1G
小米4,小米4-电信3G版/移动版/联通版,稳定版,V10.1.1.0.MXDCNFI （MIUI10）,https://bigota.d.miui.com/V10.1.1.0.MXDCNFI/miui_MI3WMI4W_V10.1.1.0.MXDCNFI_5adf2b8422_6.0.zip,720M
小米4,小米4-电信3G版/移动版/联通版,开发版,8.9.13 （MIUI10）,https://bigota.d.miui.com/8.9.13/miui_MI3WMI4W_8.9.13_8001b58f3b_6.0.zip,778M
小米4,小米4-电信4G版,稳定版,V10.1.1.0.MXGCNFI （MIUI10）,https://bigota.d.miui.com/V10.1.1.0.MXGCNFI/miui_MI4LTECT_V10.1.1.0.MXGCNFI_282a6572ea_6.0.zip,713M
小米4,小米4-电信4G版,开发版,8.9.13 （MIUI10）,https://bigota.d.miui.com/8.9.13/miui_MI4LTECT_8.9.13_1b1c548b0c_6.0.zip,713M
