Retail Branding,Marketing Name,Device,Model
Vivo,V2029,2027,V2029
Vivo,V2029_PK,2027,V2029_PK
Vivo,V2030,2030,V2030
Vivo,V2031,2036,V2031
Vivo,V2031A,PD2031,V2031A
Vivo,V2031EA,PD2031EA,V2031EA
Vivo,V2031_21,2036,V2031_21
Vivo,V2032,2027,V2032
Vivo,V2033,2034,V2033
Vivo,V2034,2034,V2034
Vivo,V2034A,PD2034,V2034A
Vivo,V2035,2036,V2035
Vivo,V2036,2036,V2036
Vivo,V2036A,PD2036,V2036A
Vivo,V2036_21,2036,V2036_21
Vivo,V2037,2037,V2037
Vivo,V2038,2037,V2038
Vivo,V2039,2034,V2039
Vivo,V2040,2040,V2040
Vivo,V2041,2041,V2041
Vivo,V2042,2026,V2042
Vivo,V2043,2026,V2043
Vivo,V2043_21,2026,V2043_21
Vivo,V2044,2044,V2044
Vivo,V2045,2045,V2045
Vivo,V2045A,PD2068,V2045A
Vivo,V2046,2046,V2046
Vivo,V2046A,PD2046,V2046A
Vivo,V2047,2047,V2047
Vivo,V2047A,PD2047,V2047A
Vivo,V2048,2026,V2048
Vivo,V2048A,PD2048,V2048A
Vivo,V2049A,PD2049,V2049A
Vivo,V2050,2050,V2050
Vivo,V2050,2050,V2066
Vivo,V2052,2034,V2052
Vivo,V2053,2041,V2053
Vivo,V2054,2034,V2052
Vivo,V2054,2034,V2054
Vivo,V2054,2034,V2069
Vivo,V2054,2034,V2101
Vivo,V2054A,PD2054,V2054A
Vivo,V2054A,PD2092,V2054A
Vivo,V2054A,PD2106,V2054A
Vivo,V2055,2055,V2055
Vivo,V2055A,PD2055,V2055A
Vivo,V2056A,PD2056,V2056A
Vivo,V2057,2058,V2057
Vivo,V2057A,PD2057,V2057A
Vivo,V2058,2058,V2058
Vivo,V2059,2059,V2059
Vivo,V2059A,PD2047,V2059A
Vivo,V2060,2060,V2060
Vivo,V2061,2061,V2061
Vivo,V2061A,PD2061,V2061A
Vivo,V2065,2026,V2065
Vivo,V2065A,PD2065,V2065A
Vivo,V2066,2050,V2066
Vivo,V2066A,PD2066,V2066A
Vivo,V2066BA,PD2066B,V2066BA
Vivo,V2068,2034,V2068
Vivo,V2068A,PD2068,V2068A
Vivo,V2069,2034,V2069
Vivo,V2069A,PD2069,V2069A
Vivo,V2070,2034,V2070
Vivo,V2072A,PD2072,V2072A
Vivo,V2073A,PD2073,V2073A
Vivo,V2080A,PD2080,V2080A
Vivo,V2085A,PD2085,V2085A
Vivo,V2099A,PD2034D,V2099A
Vivo,V2101,2034,V2101
Vivo,V2102,2034,V2102
Vivo,V2102A,PD2102,V2102A
Vivo,V2104,2105,V2104
Vivo,V2105,2105,V2105
Vivo,V2106A,PD2106,V2106A
Vivo,V2106A,PD2106B,V2106A
Vivo,V2108,2061,V2061
Vivo,V2108,2061,V2108
Vivo,V2109,2109,V2109
Vivo,V2110,2109,V2110
Vivo,V2110,2109,V2136
Vivo,V2110,2110,V2110
Vivo,V2111,2111,V2111
Vivo,V2111-EG,2111,V2111-EG
Vivo,V2111A,PD2111,V2111A
Vivo,V2113,2113,V2113
Vivo,V2115,2116,V2115
Vivo,V2115A,PD2115,V2115A
Vivo,V2116,2116,V2116
Vivo,V2117,2116,V2117
Vivo,V2118,2120,V2118
Vivo,V2118A,PD2118,V2118A
Vivo,V2120,2120,V2120
Vivo,V2121A,PD2121,V2121A
Vivo,V2123A,PD2123,V2123A
Vivo,V2124,2124,V2124
Vivo,V2125,2120,V2125
Vivo,V2126,2126,V2126
Vivo,V2127,2127,V2127
Vivo,V2129,2129,V2129
Vivo,V2130,2130,V2130
Vivo,V2130A,PD2130,V2130A
Vivo,V2131,2131,V2131
Vivo,V2131A,PD2131,V2131A
Vivo,V2132,2132,V2132
Vivo,V2132A,PD2134,V2132A
Vivo,V2133A,PD2133,V2133A
Vivo,V2134,2120,V2134
Vivo,V2134A,PD2134,V2134A
Vivo,V2135,2135,V2135
Vivo,V2135A,PD2133,V2135A
Vivo,V2136A,PD2136,V2136A
Vivo,V2136GA,PD2136,V2136GA
Vivo,V2139,2120,V2139
Vivo,V2140,2131,V2140
Vivo,V2140A,PD2140,V2140A
Vivo,V2141,2141,V2141
Vivo,V2141A,PD2141,V2141A
Vivo,V2142,2127,V2142
Vivo,V2143,2135,V2143
Vivo,V2143A,PD2143,V2143A
Vivo,V2145A,PD2145,V2145A
Vivo,V2146,2135,V2146
Vivo,V2147,2120,V2147
Vivo,V2148A,PD2148,V2148A
Vivo,V2152,2110,V2152
Vivo,V2156A,PD2156,V2156A
Vivo,V2156FA,PD2156U,V2156FA
Vivo,V2157A,PD2157,V2157A
Vivo,V2158A,PD2158,V2158A
Vivo,V2162,2120,V2162
Vivo,V2162A,PD2162,V2162A
Vivo,V2163A,PD2163,V2163A
Vivo,V2164A,PD2164,V2164A
Vivo,V2164PA,PD2164,V2164PA
Vivo,V2164PA,PD2164U,V2164PA
Vivo,V2165A,PD2165,V2165A
Vivo,V2166A,PD2166,V2166A
Vivo,V2166BA,PD2224,V2166BA
Vivo,V2168A,PD2168,V2168A
Vivo,V2171A,PD2171,V2171A
Vivo,V2172A,PD2172,V2172A
Vivo,V2180A,PD2180,V2180A
Vivo,V2197A,PD2166,V2197A
Vivo,V2202,V2202,V2202
Vivo,V2202A,PD2202,V2202A
Vivo,V2203A,PD2203,V2203A
Vivo,V2220A,PD2220,V2220A
Vivo,V2279A,PD2279J,V2279A
Vivo,V2282A,PD2282,V2282A
Vivo,V2314A,PD2314,V2314A
Vivo,V25,V2202,V2202
Vivo,V25,V2202,V2228
Vivo,V25 Pro,V2158,V2158
Vivo,V25e,V2201,V2201
Vivo,V25e,V2201,V2209
Vivo,V25e,V2237,V2242
Vivo,V27,V2231,V2231
Vivo,V27,V2231,V2246
Vivo,V27 Pro,V2230,V2230
Vivo,V27e,V2237,V2237
Vivo,V29,V2250,V2250
Vivo,V29 Lite 5G,V2244,V2244
Vivo,V29e,V2303,V2303
Vivo,V29e 5G,V2317,V2317
Vivo,V3,PD1524,vivo V3
Vivo,V3,V3,vivo V3
Vivo,V30,V2318,V2318
Vivo,V30 Lite,V2317,V2314
Vivo,V30 Lite,V2342,V2342
Vivo,V30 Lite 5G,V2327,V2327
Vivo,V30 Pro,V2319,V2319
Vivo,V30 SE,V2327,V2349
Vivo,V3Lite,V3Lite,vivo V3Lite
Vivo,V3M A,PD1524B,vivo PD1524B
Vivo,V3Max,V3Max,vivo V3Max
Vivo,V3Max + A,PD1523B,vivo V3Max+ A
Vivo,V3Max A,PD1523,vivo PD1523A
Vivo,V40 SE 5G,V2327,V2337
Vivo,V5Plus,V5Plus,vivo V5Plus
Vivo,V9,1727ID,vivo 1727
Vivo,V9 6GB,1723CF,vivo 1723
Vivo,V9 Pro,1851,vivo 1851
Vivo,X Flip,PD2256,V2256A
Vivo,X Fold3 Pro,PD2337,V2337A
Vivo,X100,PD2309,V2309A
Vivo,X100,V2308,V2308
Vivo,X100 Pro,PD2324,V2324A
Vivo,X100 Pro,V2309,V2309
Vivo,X5,X5,vivo X5
Vivo,X50,2004,vivo 2004
Vivo,X50 Pro,2006,vivo 2006
Vivo,X5M,PD1401CL,vivo X5M
Vivo,X5Max,X5Max,vivo X5Max
Vivo,X5Max S,bbk6752_lwt_kk,vivo X5Max S
Vivo,X5MaxV,msm8916_32,vivo X5MaxV
Vivo,X5Pro,X5Pro,vivo X5Pro
Vivo,X5Pro D,bbk6752_lwt_l,vivo X5Pro D
Vivo,X5Pro V,PD1421V,vivo X5Pro V
Vivo,X6A,PD1415A,vivo PD1415A
Vivo,X6D,PD1415D,vivo X6D
Vivo,X6Plus A,PD1515A,vivo PD1515A
Vivo,X6Plus D,PD1501D,vivo PD1501D
Vivo,X6S A,PD1415BA,vivo X6S A
Vivo,X6SPlusA,PD1515BA,vivo PD1515BA
Vivo,X7,PD1602,vivo X7
Vivo,X7Plus,PD1603,vivo X7Plus
Vivo,X80,V2144,V2144
Vivo,X80 Lite  5G,V2202,V2208
Vivo,X80 Pro,V2145,V2145
Vivo,X9,PD1616,vivo X9
Vivo,X90,V2218,V2218
Vivo,X90 Pro,V2219,V2219
Vivo,X9i,PD1624,vivo X9i
Vivo,Xplay5A,PD1522A,vivo PD1522A
Vivo,Xplay5A,PD1522A,vivo Xplay5A
Vivo,Xplay6,PD1610,vivo Xplay6
Vivo,Y01A,2120,V2166
Vivo,Y02,V2217,V2217
Vivo,Y02,V2236,V2234_PK
Vivo,Y02,V2236,V2236
Vivo,Y02A,V2236,V2234
Vivo,Y02s,V2204,V2203
Vivo,Y02s,V2204,V2221
Vivo,Y02s,V2204,V2229
Vivo,Y02t,V2254,V2252
Vivo,Y02t,V2254,V2254
Vivo,Y02t,V2254,V2325
Vivo,Y03,V2333,V2332
Vivo,Y03,V2333,V2406
Vivo,Y100,PD2313,V2313A
Vivo,Y100,V2239,V2239
Vivo,Y100,V2342,V2342
Vivo,Y100,V2342,V2412
Vivo,Y100 5G,V2327,V2327
Vivo,Y100A,V2222,V2222
Vivo,Y11,PD2236,V2236A
Vivo,Y11,Y11,vivo Y11
Vivo,Y12,PD2317,V2317A
Vivo,Y15,Y15,vivo Y15
Vivo,Y15C,2120,V2212
Vivo,Y15S,Y15S,vivo Y15S
Vivo,Y16,V2204,V2204
Vivo,Y16,V2204,V2214
Vivo,Y16,V2204,V2305
Vivo,Y17,1902D,vivo 1902
Vivo,Y17s,V2310,V2310
Vivo,Y17s,V2310,V2331
Vivo,Y18,V2333,V2333
Vivo,Y18e,V2333,V2350
Vivo,Y200 5G,V2307,V2307
Vivo,Y200 Pro 5G,V2303,V2303
Vivo,Y200 Pro 5G,V2303,V2401
Vivo,Y200e 5G,V2327,V2336
Vivo,Y21,Y21,vivo Y21
Vivo,Y21A,2149,V2149
Vivo,Y21L,Y21L,vivo Y21L
Vivo,Y22,Y22,vivo Y22
Vivo,Y22s,V2206,V2206
Vivo,Y27,V2249,V2249
Vivo,Y27,Y27,vivo Y27
Vivo,Y27 5G,V2248,V2302
Vivo,Y27 5G,V2248G,V2302
Vivo,Y27s,V2247,V2322
Vivo,Y27s,V2247,V2335
Vivo,Y28,Y28,vivo Y28
Vivo,Y28 5G,V2315,V2315
Vivo,Y30 5G,2160,V2160
Vivo,Y31,PD1505,vivo Y31
Vivo,Y31,Y31,vivo Y31
Vivo,Y31L,Y31L,vivo Y31L
Vivo,Y31i,Y31i,vivo 1707
Vivo,Y31i,Y31i,vivo Y31
Vivo,Y31i,Y31i,vivo Y31i
Vivo,Y33,bbk6735_65c_l,vivo Y33
Vivo,Y33t,PD2236,V2236A
Vivo,Y33t,PD2317,V2317A
Vivo,Y35,PD1502L,vivo Y35
Vivo,Y35,PD2230,V2230A
Vivo,Y35,V2205,V2205
Vivo,Y35+,PD2279,V2279A
Vivo,Y35A,PD1502A,vivo Y35A
Vivo,Y35m,PD2230,V2230A
Vivo,Y35m+,PD2279,V2279A
Vivo,Y36,PD2318,V2318A
Vivo,Y36,V2247,V2247
Vivo,Y36,V2247,V2324
Vivo,Y36 5G,V2248,V2248
Vivo,Y36m,PD2318,V2318A
Vivo,Y36s,PD2318,V2318A
Vivo,Y51,Y51,vivo Y51
Vivo,Y51A,PD1510,vivo Y51A
Vivo,Y53,1606,vivo 1606
Vivo,Y53L,PD1628,vivo PD1628
Vivo,Y53t,PD2230,V2230A
Vivo,Y55,1603,vivo 1603
Vivo,Y55,V2154,V2154
Vivo,Y55A,PD1613,vivo Y55
Vivo,Y55s,1610,vivo 1610
Vivo,Y55s,PD2164,V2164A
Vivo,Y55t,PD2279,V2279A
Vivo,Y56 5G,V2225,V2225
Vivo,Y56 5G,V2225,V2311
Vivo,Y66,PD1621,vivo Y66
Vivo,Y67,PD1612,vivo Y67
Vivo,Y71,1801,vivo 1801
Vivo,Y77t,PD2278,V2278A
Vivo,Y78,PD2278,V2278A
Vivo,Y78 5G,V2244,V2244
Vivo,Y78+,PD2271,V2271A
Vivo,Y78m,PD2278,V2278A
Vivo,Y79A,PD1708,vivo PD1708
Vivo,Y79A,PD1708,vivo Y79A
Vivo,Y937,PD1503,vivo Y937
Vivo,Y93s,PD1818C,V1818CA
Vivo,Y93标准版 64G,PD1818B,V1818BA
Vivo,Y93标准版 64G,PD1818B,V1818CA
Vivo,Y97,PD1813,V1813A
Vivo,Z1,PD1730C,vivo Z1
Vivo,Z1 Pro,1951,vivo 1951
Vivo,Z3i,PD1813C,V1813A
Vivo,Z3i,PD1813E,V1813A
Vivo,iQOO 10,PD2217,V2217A
Vivo,iQOO 10 Pro,PD2218,V2218A
Vivo,iQOO 11,I2212,I2212
Vivo,iQOO 11,PD2243,V2243A
Vivo,iQOO 11 Pro,PD2254,V2254A
Vivo,iQOO 11S,PD2304,V2304A
Vivo,iQOO 12,I2220,I2220
Vivo,iQOO 12,PD2307,V2307A
Vivo,iQOO 12 Pro,PD2329,V2329A
Vivo,iQOO 9 Pro,2022,I2022
Vivo,iQOO 9 SE,2019,I2019
Vivo,iQOO 9T,I2201,I2201
Vivo,iQOO Neo5S,PD2154,V2154A
Vivo,iQOO Neo6,PD2196,V2196A
Vivo,iQOO Neo6 SE,PD2199,V2199A
Vivo,iQOO Neo7,I2214,I2214
Vivo,iQOO Neo7,PD2231,V2231A
Vivo,iQOO Neo7 Pro,I2217,I2217
Vivo,iQOO Neo7 SE,PD2238,V2238A
Vivo,iQOO Neo7 竞速版,,V2232A
Vivo,iQOO Neo7 竞速版,PD2232,V2232A
Vivo,iQOO Neo8,PD2301,V2301A
Vivo,iQOO Neo8 Pro,PD2302,V2302A
Vivo,iQOO Neo9,PD2338,V2338A
Vivo,iQOO Neo9 Pro,I2304,I2304
Vivo,iQOO Neo9 Pro,PD2339,V2339A
Vivo,iQOO Pad,DPD2307,iPA2375
Vivo,iQOO Pad Air,DPD2305,iPA2451
Vivo,iQOO Z5,2018,I2018
Vivo,iQOO Z5 6000mAh,PD2188,V2188A
Vivo,iQOO Z6,I2203,I2203
Vivo,iQOO Z6,I2203,I2206
Vivo,iQOO Z6 Lite 5G,I2208,I2208
Vivo,iQOO Z6 Pro,I2126,I2126
Vivo,iQOO Z6x,PD2164U,V2164KA
Vivo,iQOO Z7,PD2270,V2270A
Vivo,iQOO Z7 5G,I2207,I2207
Vivo,iQOO Z7 5G,I2213,I2213
Vivo,iQOO Z7 Pro 5G,I2301,I2301
Vivo,iQOO Z7i,PD2230,V2230EA
Vivo,iQOO Z7s 5G,I2223,I2223
Vivo,iQOO Z7x,PD2272,V2272A
Vivo,iQOO Z7x (m),PD2272,V2272A
Vivo,iQOO Z7x 5G,I2216,I2216
Vivo,iQOO Z8x,PD2312,V2312A
Vivo,iQOO Z9 5G,I2302,I2302
Vivo,vivo  1907,1907,vivo 1907
Vivo,vivo  X21i  A,PD1801,vivo X21i A
Vivo,vivo  Y75s,PD1708C,vivo Y75s
Vivo,vivo  Y85A,PD1730,vivo Y85A
Vivo,vivo 1611,1611,vivo 1611
Vivo,vivo 1714,1714,vivo 1714
Vivo,vivo 1716,1716,vivo 1716
Vivo,vivo 1718,1718,vivo 1718
Vivo,vivo 1720,PD1710F_EX,vivo 1720
Vivo,vivo 1721,PD1709F_EX,vivo 1721
Vivo,vivo 1723,1723,vivo 1723
Vivo,vivo 1724,1724,vivo 1724
Vivo,vivo 1725,1725,vivo 1725
Vivo,vivo 1726,1726,vivo 1726
Vivo,vivo 1727,1727,vivo 1727
Vivo,vivo 1802,1802,vivo 1802
Vivo,vivo 1803,1803,vivo 1803
Vivo,vivo 1804,1804,vivo 1804
Vivo,vivo 1805,1805,vivo 1805
Vivo,vivo 1806,1806,vivo 1806
Vivo,vivo 1807,1807,vivo 1807
Vivo,vivo 1807,1807N,vivo 1807
Vivo,vivo 1808,1808,vivo 1808
Vivo,vivo 1811,1811,vivo 1811
Vivo,vivo 1812,1812,vivo 1812
Vivo,vivo 1813,1813,vivo 1813
Vivo,vivo 1814,1814,vivo 1814
Vivo,vivo 1815,1815,vivo 1815
Vivo,vivo 1816,1816,vivo 1816
Vivo,vivo 1817,1817,vivo 1817
Vivo,vivo 1818,1818,vivo 1818
Vivo,vivo 1818,1818N,vivo 1818
Vivo,vivo 1818,PD1832,V1832A
Vivo,vivo 1819,1819,vivo 1819
Vivo,vivo 1819,1819N,vivo 1819
Vivo,vivo 1820,1820,vivo 1820
Vivo,vivo 1901,1901,vivo 1901
Vivo,vivo 1902,1902,vivo 1902
Vivo,vivo 1904,1904,vivo 1904
Vivo,vivo 1906,1906,vivo 1906
Vivo,vivo 1906,1906,vivo 2007
Vivo,vivo 1907,1907,vivo 1907
Vivo,vivo 1907,1907N,vivo 1907
Vivo,vivo 1909,1909,vivo 1909
Vivo,vivo 1910,1910,vivo 1910
Vivo,vivo 1910,1910N,vivo 1910
Vivo,vivo 1912,1912,vivo 1912
Vivo,vivo 1913,1913,vivo 1913
Vivo,vivo 1914,1811,vivo 1914
Vivo,vivo 1915,1915,vivo 1915
Vivo,vivo 1916,1916,vivo 1916
Vivo,vivo 1917,1917,vivo 1917
Vivo,vivo 1919,1919,vivo 1919
Vivo,vivo 1920,1920,vivo 1920
Vivo,vivo 1921,1921,vivo 1921
Vivo,vivo 1929,2015,vivo 1929
Vivo,vivo 1933,1933,vivo 1933
Vivo,vivo 1935,1935,vivo 1935
Vivo,vivo 1937,1937,vivo 1937
Vivo,vivo 1938,1938,vivo 1938
Vivo,vivo 1940,1938,vivo 1940
Vivo,vivo 2005,2005,vivo 2005
Vivo,vivo 2010,1902,vivo 1902
Vivo,vivo 2010,1902,vivo 2010
Vivo,vivo 2015,2015,vivo 2015
Vivo,vivo 2015_21,2015,vivo 2015_21
Vivo,vivo 2018,2018,vivo 2018
Vivo,vivo 2019,1938,vivo 2019
Vivo,vivo NEX A,PD1806,vivo NEX A
Vivo,vivo NEX S,PD1805,vivo NEX S
Vivo,vivo Pad Air,DPD2305,PA2353
Vivo,vivo Pad2,DPD2221,PA2373
Vivo,vivo Pad3 Pro,DPD2329,PA2473
Vivo,vivo S1,PD1831,V1831A
Vivo,vivo S15 Pro,PD2207,V2207A
Vivo,vivo S15e,PD2190,V2190A
Vivo,vivo S16,PD2244,V2244A
Vivo,vivo S16 Pro,PD2245,V2245A
Vivo,vivo S16e,PD2239,V2239A
Vivo,vivo S17e,PD2285,V2285A
Vivo,vivo S18,PD2323,V2323A
Vivo,vivo S18e,PD2334,V2334A
Vivo,vivo T2,PD2199,V2199GA
Vivo,vivo X Fold,PD2178,V2178A
Vivo,vivo X Fold+,PD2229,V2229A
Vivo,vivo X Fold2,PD2266,V2266A
Vivo,vivo X Fold3,PD2303,V2303A
Vivo,vivo X Note,PD2170,V2170A
Vivo,vivo X20,PD1709,vivo PD1709
Vivo,vivo X20,PD1709,vivo X20A
Vivo,vivo X20Plus,PD1710,vivo PD1710
Vivo,vivo X20Plus,PD1710,vivo X20Plus A
Vivo,vivo X20Plus UD,PD1721,vivo PD1721
Vivo,vivo X20Plus UD,PD1721,vivo X20Plus UD
Vivo,vivo X21A,PD1728,vivo X21A
Vivo,vivo X21UD A,PD1728UD,vivo X21UD A
Vivo,vivo X70 Pro+,2114,V2114
Vivo,vivo X80,PD2183,V2183A
Vivo,vivo X80 Pro,PD2185,V2185A
Vivo,vivo X80 Pro 天玑9000版,PD2186,V2186A
Vivo,vivo X90,PD2241,V2241A
Vivo,vivo X90 Pro,PD2242,V2242A
Vivo,vivo X90 Pro+,PD2227,V2227A
Vivo,vivo X90s,PD2241,V2241HA
Vivo,vivo X9Plus,PD1619,vivo X9Plus
Vivo,vivo X9s,PD1616B,vivo PD1616B
Vivo,vivo X9s,PD1616B,vivo X9s
Vivo,vivo X9s Plus,PD1635,vivo PD1635
Vivo,vivo X9s Plus,PD1635,vivo X9s Plus
Vivo,vivo Y100i长续航版,PD2312,V2312BA
Vivo,vivo Y11,Y11,vivo Y11
Vivo,vivo Y22,V2207,V2207
Vivo,vivo Y22,V2207,V2238
Vivo,vivo Y22,Y22,vivo Y22
Vivo,vivo Y28,Y28,vivo Y28
Vivo,vivo Y65,1719,vivo 1719
Vivo,vivo Y66i A,PD1621B,vivo Y66i A
Vivo,vivo Y69A,PD1705,vivo Y69A
Vivo,vivo Y71A,PD1731,vivo Y71A
Vivo,vivo Y75A,PD1718,vivo Y75A
Vivo,vivo Y75s,PD2069,V2069BA
Vivo,vivo Y77,PD2219,V2219A
Vivo,vivo Y78t,PD2312,V2312BA
Vivo,vivo Y83A,PD1803,vivo Y83A
Vivo,vivo Z1i,PD1730D,vivo Y89
Vivo,vivo Z1i,PD1730D,vivo Z1i
Vivo,vivo Z3x,PD1730G,vivo Z3x
