宣传名称,品牌,产品型号,产品上市时间,产品零售价格,屏幕尺寸,AP型号,智能操作系统
OPPO A72 5G,OPPO,PDYM20,20200731,1999,6.5,MT6853V,Android 10
OPPO Reno4  5G,OPPO,PDPM00,20200612,3199,6.4,Qualcomm SM7250,Android 10
OPPO Reno4 Pro 5G,OPPO,PDNM00,20200612,3999,6.5,Qualcomm SM7250,Android 10
A92s,OPPO,PDKM00,20200501,2699,6.57,MTK MT6873V,Android 10
OPPO A52,OPPO,PDAM10,20200501,1799,6.5,SM6125,Android 10
OPPO Find X2 Pro,OPPO,PDEM30,20200313,7199,6.7,高通 SM8250,Android 10
OPPO Find X2,OPPO,PDEM10,20200313,6199,6.7,高通 SM8250,Android 10
OPPO Reno3元气版5G,OPPO,PCLM50,20200220,3199,6.4,高通 SM7250,Android 10
OPPO Reno3 Pro,OPPO,PCRM00,20191231,4199,6.5,高通 SM7250,Android 10
OPPO Reno3,OPPO,PDCM00,20191231,3599,6.4,MTK  MT6885,Android 10
OPPO A91,OPPO,PCPM00,20191220,2199,6.4,MTK MT6771V,Android 9
OPPO A8,OPPO,PDBM00,20200101,1299,6.5,MT6765,Android 9
OPPO A11n,OPPO,PCHM00,20191120,2099,6.5,SM6125,Android 9
OPPO Reno Ace,OPPO,PCLM10,20191017,3399,6.55,SM8150,Android 9
OPPO K5,OPPO,PCNM00,20191010,2699,6.43,SM7150,Android 9
OPPO Reno2 z,OPPO,PCKM80,20191025,2699,6.5,MTK MT6779V,Android 9
OPPO A11,OPPO,PCHM10,20191015,1399,6.5,SM6125,Android 9
OPPO A11x,OPPO,PCHM30,20190920,1999,6.5,SM6125,Android 9
OPPO Reno2,OPPO,PCKM00,20190912,3199,6.5,Qualcomm SM7150,Android 9
A9x,OPPO,PCEM00,20190521,1999,6.5,MTK MT6771V,Android 9
Reno Z,OPPO,PCDM10,20190609,2599,6.4,MT6779V,Android 9
K3,OPPO,PCGM00,20190601,2199,6.5,SDM710,Android 9
A9,OPPO,PCAM10,20190510,1499,6.5,MTK MT6771V,Android 9
OPPO Reno 十倍变焦版,OPPO,PCCM00,20190510,4799,6.65,Qualcomm SM8150,Android 9
OPPO Reno,OPPO,PCAM00,20190420,2999,6.4,SDM710,Android 9
A7n,OPPO,PCDM00,20190301,1499,6.2,MTK MT6765,Android 8.1.0
A5,OPPO,PBBM30,20190115,1099,6.217,SDM450B,Android 8.1.0
A7,OPPO,PBFM00,20181113,1599,6.2,SDM450,Android 8.1.0
K1,OPPO,PBCM30,20181019,1799,6.4,SDM660,Android 8.1.0
R15x,OPPO,PBCM10,20181022,2499,6.4,SDM660,Android 8.1.0
R17 PRO,OPPO,PBDM00,20181111,4299,6.4,SDM710,Android 8.1.0
OPPO A7x,OPPO,PBBM00,20180920,2099,6.3,MT6771V,Android 8.1.0
OPPO Findx（超级闪充版）,OPPO,PAHM00,20180817,5999,6.4,SDM845,Android 8.1.0
R17,OPPO,PBEM00,20180822,3199,6.4,SDM670,Android 8.1.0
OPPO Find X,OPPO,PAFM00,20180713,4999,6.4,SDM845,Android 8.1.0
A5,OPPO,PBAM00,20180705,1199,6.2,Qualcomm SDM450,Android 8.1.0
A3,OPPO,PADM00,20180501,1799,6.2,MTK6771,Android 8.1.0
R15梦镜版,OPPO,PAAM00,20180410,3499,6.28,SDM660,Android 8.1.0
R15,OPPO,PACM00,20180402,2699,6.28,MTK6771,Android 8.1.0
无,OPPO,OPPO A83,20171230,1199,5.7,MT6763T,Android 7.1.1
无,OPPO,OPPO A73,20171212,1699,5.99,MT6763T,Android 7.1.1
无,OPPO,OPPO A79k,20171208,1999,6.01,MT6763T,Android 7.1.1
OPPO A79,OPPO,OPPO A79,20171130,1999,6.01,MT6763T,Android 7.1.1
OPPO R11s Plus,OPPO,OPPO R11s Plus,20171120,3299,6.43,高通SDM660,Android 7.1.1
OPPO R11s,OPPO,OPPO R11s,20171110,2799,6.01,高通SDM660,Android 7.1.1
无,OPPO,OPPO A77,20170708,1799,5.5,Qualcomm MSM 8953,Android 7.1.1
无,OPPO,OPPO R11 Plusk,20170630,3499,6.0,Qualcomm SDM660,Android 7.1.1
无,OPPO,OPPO R11 Plus,20170630,3499,6.0,Qualcomm SDM660,Android 7.1.1
无,OPPO,OPPO R11,20170616,2799,5.5,Qualcomm SDM660,Android 7.1.1
无,OPPO,OPPO R9s Plus,20161208,3499,6,Qualcomm MSM 8976SG,Android6.0
无,OPPO,OPPO R9sk,20161207,2599,5.5,Qualcomm MSM 8953,Android6.0
无,OPPO,OPPO A57,20161119,1099,5.2,Qualcomm MSM8940,Android6.0
无,OPPO,OPPO R9s,20161028,2599,5.5,Qualcomm MSM 8953,Android6.0
无,OPPO,OPPO A59s,20161014,1799,5.5,MT6750,Android5.1
无,OPPO,OPPO R9km,20160825,2499,5.5,MT6755,Android5.1
无,OPPO,OPPO A59m,20160620,1799,5.5,MT6750,Android5.1
无,OPPO,OPPO A37m,20160512,1099,5,MT6750,Android5.1
无,OPPO,OPPO R9 Plustm A,20160407,2999,6,MSM8976,Android5.1
无,OPPO,OPPO R9 Plusm A,20160407,2999,6,MSM8976,Android5.1
无,OPPO,OPPO R9tm,20160324,2499,5.5,MT6755,Android5.1
无,OPPO,OPPO R9m,20160324,2499,5.5,MT6755,Android5.1
无,OPPO,OPPO A53m,20151215,1799,5.5,MSM8939,Android5.1
无,OPPO,OPPO A33m,20151110,1099,5,MSM8916,Android5.1
无,OPPO,OPPO R7sm,20150920,2598,5.5,MSM8939,Android5.1
无,OPPO,OPPO R7 Plusm,20150805,3299,6,MSM8939,Android5.1
N/A,OPPO,OPPO A51kc,20150805,1299,5,MSM8916,Android5.1
R7,OPPO,OPPO R7c,20150530,2499,5,MSM8939,Android4.4
A31,OPPO,OPPO A31c,20150512,999,4.5,MSM8916,Android4.4
R1C,OPPO,OPPO R8205,20150125,2399,5,MSM8939,Android4.4
null,OPPO,OPPO 3005,20141230,1699,4.7,MSM8916,Android4.4
无,OPPO,OPPO 1105,20141028,1299,4.5,MSM8916,Android4.4
R3,OPPO,OPPO R7005,20140915,2498,5,MSM8928,Android4.4
