Retail Branding,Marketing Name,Device,Model
POCO,POCO X4 Pro 5G,peux,2201116PI
POCO,POCO X4 Pro 5G,veux,2201116PG
Redmi,K30 PRO,lmi,Lmi
Redmi,K30 PRO,lmi,Redmi K30 Pro
Redmi,Mi  9T  Pro,raphaelin,Redmi K20 Pro
Redmi,Mi 9T,davinci,Mi 9T
Redmi,MiTV,rango,MiTV-AXFR0
Redmi,Redmi  7A,pine,Redmi 7A
Redmi,Redmi  7A,pine,pine
Redmi,Redmi  Note  7,lavender,Redmi Note 7
Redmi,Redmi 10,eos,21061119DG
Redmi,Redmi 10,eos,22011119UY
Redmi,Redmi 10,fog,220333QBI
Redmi,Redmi 10 2022,eos,21061119DG
Redmi,Redmi 10 2022,eos,22011119UY
Redmi,Redmi 10 2022,selene,21061119AG
Redmi,Redmi 10 2022,selene,21061119AL
Redmi,Redmi 10 2022,selene,21121119SG
Redmi,Redmi 10 2022,selene,21121119VL
Redmi,Redmi 10 5G,light,22041219G
Redmi,Redmi 10 5G,thunder,22041219NY
Redmi,Redmi 10 Power,fog,220333QBI
Redmi,Redmi 10A,dandelion,220233L2C
Redmi,Redmi 10A,dandelion,220233L2G
Redmi,Redmi 10A Sport,dandelion,220233L2I
Redmi,Redmi 10C,fog,220333QAG
Redmi,Redmi 10C,rain,220333QNY
Redmi,Redmi 10C,wind,220333QL
Redmi,Redmi 10X,apricot,M2004J7AC
Redmi,Redmi 10X,atom,M2004J7AC
Redmi,Redmi 10X,atom,atom
Redmi,Redmi 10X 4G,merlin,M2003J15SC
Redmi,Redmi 10X Pro,banana,M2004J7BC
Redmi,Redmi 10X pro,bomb,M2004J7BC
Redmi,Redmi 10X pro,bomb,bomb
Redmi,Redmi 6,cereus,Redmi 6
Redmi,Redmi 7,onc,Redmi 7
Redmi,Redmi 7,onc,Redmi Y3
Redmi,Redmi 7A,pine,Redmi 7A
Redmi,Redmi 8,olive,Redmi 8
Redmi,Redmi 8A,olivelite,Redmi 8A
Redmi,Redmi 8A Dual,olivewood,Redmi 8A Dual
Redmi,Redmi 8A Dual,olivewood,Redmi 8A Pro
Redmi,Redmi 9,cattail,M2006C3MII
Redmi,Redmi 9,cattail,cattail
Redmi,Redmi 9,galahad,M2004J19C
Redmi,Redmi 9,galahad,galahad
Redmi,Redmi 9,lancelot,M2004J19C
Redmi,Redmi 9,lancelot,M2004J19G
Redmi,Redmi 9 Power,lime,M2010J19SI
Redmi,Redmi 9 Prime,lancelot,M2004J19C
Redmi,Redmi 9 Prime,lancelot,M2004J19I
Redmi,Redmi 9A,dandelion,220233L2G
Redmi,Redmi 9A,dandelion,M2006C3LC
Redmi,Redmi 9A,dandelion,M2006C3LG
Redmi,Redmi 9A,dandelion,M2006C3LI
Redmi,Redmi 9A,dandelion,M2006C3LVG
Redmi,Redmi 9A,dandelion,dandelion
Redmi,Redmi 9C,angelica,M2006C3MG
Redmi,Redmi 9C,angelica,angelica
Redmi,Redmi 9C NFC,angelican,M2006C3MNG
Redmi,Redmi 9C NFC,angelican,angelican
Redmi,Redmi 9T,lemon,M2010J19SY
Redmi,Redmi 9T,lime,M2010J19SG
Redmi,Redmi 9T,pomelo,M2010J19SL
Redmi,Redmi A1,ice,220733SI
Redmi,Redmi A1+,snow,220743FI
Redmi,Redmi K20,davinci,Mi 9T
Redmi,Redmi K20,davinci,Redmi K20
Redmi,Redmi K20,davinciin,Redmi K20
Redmi,Redmi K20 Pro,raphael,Mi 9T Pro
Redmi,Redmi K20 Pro,raphael,Redmi K20 Pro
Redmi,Redmi K20 Pro,raphael,Redmi K20 Pro Premium Edition
Redmi,Redmi K30,phoenix,Redmi K30
Redmi,Redmi K30 5G,picasso,Redmi K30 5G
Redmi,Redmi K30 Ultra,cezanne,M2006J10C
Redmi,Redmi K30S Ultra,apollo,M2007J3SC
Redmi,Redmi K30i 5G,picasso,Redmi K30i 5G
Redmi,Redmi K40,alioth,M2012K11AC
Redmi,Redmi K40 Gaming,ares,M2012K10C
Redmi,Redmi K40 Pro,haydn,M2012K11C
Redmi,Redmi K40 Pro +,haydn,M2012K11C
Redmi,Redmi K40S,munch,22021211RC
Redmi,Redmi K50,rubens,22041211AC
Redmi,Redmi K50 Pro,matisse,22011211C
Redmi,Redmi K50G,ingres,21121210C
Redmi,Redmi K50i,xagain,22041216I
Redmi,Redmi Note 10,camellia,M2103K19C
Redmi,Redmi Note 10,sunny,M2101K7AG
Redmi,Redmi Note 10,sunny,M2101K7AI
Redmi,Redmi Note 10 5G,camellian,M2103K19G
Redmi,Redmi Note 10 JE,XIG02,XIG02
Redmi,Redmi Note 10 Pro,chopin,21061110AG
Redmi,Redmi Note 10 Pro,sweet,M2101K6G
Redmi,Redmi Note 10 Pro,sweetin,M2101K6P
Redmi,Redmi Note 10 Pro Max,sweetin,M2101K6I
Redmi,Redmi Note 10 pro,chopin,M2104K10AC
Redmi,Redmi Note 10S,maltose,M2101K7BL
Redmi,Redmi Note 10S,rosemary,M2101K7BNY
Redmi,Redmi Note 10S,secret,M2101K7BG
Redmi,Redmi Note 10S,secret,M2101K7BI
Redmi,Redmi Note 10T,camellian,M2103K19Y
Redmi,Redmi Note 10T 5G,camellia,M2103K19I
Redmi,Redmi Note 10T 5G,camellia,TBD
Redmi,Redmi Note 11,spes,2201117TG
Redmi,Redmi Note 11,spes,2201117TI
Redmi,Redmi Note 11,spes,2201117TL
Redmi,Redmi Note 11,spesn,2201117TY
Redmi,Redmi Note 11 4G,selene,21121119SC
Redmi,Redmi Note 11 5G,evergo,21091116AC
Redmi,Redmi Note 11 Pro,pissarro,21091116C
Redmi,Redmi Note 11 Pro,viva,2201116TG
Redmi,Redmi Note 11 Pro 5G,veux,2201116SG
Redmi,Redmi Note 11 Pro 5G,veux,2201116SR
Redmi,Redmi Note 11 Pro+,pissarropro,21091116UC
Redmi,Redmi Note 11 Pro+ 5G,peux,2201116SI
Redmi,Redmi Note 11 Pro+ 5G,pissarropro,21091116UG
Redmi,Redmi Note 11 SE,secret,22087RA4DI
Redmi,Redmi Note 11 SE,secret,M2101K7BI
Redmi,Redmi Note 11E,light,22041219C
Redmi,Redmi Note 11E Pro,veux,2201116SC
Redmi,Redmi Note 11S,fleur,2201117SY
Redmi,Redmi Note 11S,miel,2201117SG
Redmi,Redmi Note 11S,miel,2201117SI
Redmi,Redmi Note 11S,miel,2201117SL
Redmi,Redmi Note 11S 5G,opal,22031116BG
Redmi,Redmi Note 11T 5G,evergo,21091116AI
Redmi,Redmi Note 11T Pro,xaga,22041216C
Redmi,Redmi Note 11T Pro +,xagapro,22041216UC
Redmi,Redmi Note 7,lavender,Redmi Note 7
Redmi,Redmi Note 8,biloba,M1908C3JGG
Redmi,Redmi Note 8,ginkgo,GINKGO
Redmi,Redmi Note 8,ginkgo,Redmi Note 8
Redmi,Redmi Note 8 Pro,begonia,Redmi Note 8 Pro
Redmi,Redmi Note 8 Pro,begonia,begonia
Redmi,Redmi Note 8 pro,begoniain,Redmi Note 8 Pro
Redmi,Redmi Note 8T,willow,Redmi Note 8T
Redmi,Redmi Note 8T,willow,willow
Redmi,Redmi Note 9,cannon,M2007J22C
Redmi,Redmi Note 9,merlin,M2003J15SC
Redmi,Redmi Note 9,merlin,M2003J15SI
Redmi,Redmi Note 9,merlin,M2003J15SS
Redmi,Redmi Note 9,merlinnfc,M2003J15SC
Redmi,Redmi Note 9,merlinnfc,M2003J15SG
Redmi,Redmi Note 9 4G,lime,M2010J19SC
Redmi,Redmi Note 9 Pro,curtana,Redmi Note 9 Pro
Redmi,Redmi Note 9 Pro,curtana,curtana
Redmi,Redmi Note 9 Pro,joyeuse,Redmi Note 9 Pro
Redmi,Redmi Note 9 Pro Max,excalibur,Redmi Note 9 Pro Max
Redmi,Redmi Note 9 pro,gauguinpro,M2007J17C
Redmi,Redmi Note 9S,curtana,Redmi Note 9 Pro
Redmi,Redmi Note 9S,curtana,Redmi Note 9S
Redmi,Redmi Note 9T,cannong,A001XM
Redmi,Redmi Note 9T,cannong,M2007J22G
Redmi,Smart TV,tarzan,MiTV-MOOQ3
Xiaomi,China,braveheart,MiTV
Xiaomi,Formovie Laser TV 4K Cinema,angleeUHD,MiProjL1
Xiaomi,HM 1SC,armani,HM 1AC
Xiaomi,HM 1SC,armani,HM 1S
Xiaomi,HM 1SC,armani,HM 1SC
Xiaomi,HM 1SC,armani,HM 1SW
Xiaomi,HM 1SLTETD,HM2014501,2014501
Xiaomi,HM 1STD,HM2014011,2014011
Xiaomi,HM 2A,lte26007,2014502
Xiaomi,HM 2A,lte26007,HM 2A
Xiaomi,HM 2LTE-BR,HM2014819,2014819
Xiaomi,HM 2LTE-CMCC,HM2014813,2014813
Xiaomi,HM 2LTE-CT,HM2014812,2014812
Xiaomi,HM 2LTE-CU,HM2014811,2014811
Xiaomi,HM 2LTE-IN,HM2014818,2014818
Xiaomi,HM 2LTE-SA,HM2014817,2014817
Xiaomi,HM NOTE 1LTETD,dior,HM NOTE 1LTE
Xiaomi,HM NOTE 1LTETD,dior,HM NOTE 1LTETD
Xiaomi,HM NOTE 1LTETD,dior,HM NOTE 1LTEW
Xiaomi,HM NOTE 1S CT,gucci,HM NOTE 1S
Xiaomi,HM NOTE 1S CT,gucci,gucci
Xiaomi,HM NOTE 1TD,lcsh92_wet_tdd,HM NOTE 1TD
Xiaomi,HM NOTE 1W,lcsh92_wet_jb9,HM NOTE 1W
Xiaomi,HM Note 2,hermes,Redmi Note 2
Xiaomi,Hong Mi,HM2013022,2013022
Xiaomi,K30 PRO,lmiinpro,Redmi K30 Pro 5G Zoom Edition
Xiaomi,K30 pro,lmiin,Redmi K30 Pro 5G
Xiaomi,MI  8  Explorer  Edition,ursa,MI 8 Explorer Edition
Xiaomi,MI  8  Pro,equuleus,MI 8 Pro
Xiaomi,MI  8  Pro,equuleus,MI 8 UD
Xiaomi,MI  MAX  3,nitrogen,MI MAX 3
Xiaomi,MI  PLAY,lotus,MI PLAY
Xiaomi,MI  PLAY,lotus,lotus
Xiaomi,MI 10,umi,Mi 10
Xiaomi,MI 2,aries,MI 2
Xiaomi,MI 2,aries,MI 2S
Xiaomi,MI 2A,taurus,MI 2A
Xiaomi,MI 3W,cancro,MI 3W
Xiaomi,MI 4LTE,cancro,MI 4C
Xiaomi,MI 4LTE,cancro,MI 4LTE
Xiaomi,MI 4LTE,cancro,MI 4W
Xiaomi,MI 4LTE-CT,cancro,MI 4LTE
Xiaomi,MI 4s,aqua,MI 4S
Xiaomi,MI 5C,meri,MI 5C
Xiaomi,MI 5C,meri,Meri
Xiaomi,MI 5X,tiffany,MI 5X
Xiaomi,MI 5s Plus,natrium,MI 5s Plus
Xiaomi,MI 6X,wayne,MI 6X
Xiaomi,MI 8,dipper,MI 8
Xiaomi,MI 8 Lite,platina,MI 8 Lite
Xiaomi,MI 8 Lite,platina,Platina
Xiaomi,MI 8 SE,sirius,MI 8 SE
Xiaomi,MI 8 SE,sirius,sirius
Xiaomi,MI 8 UD,equuleus,MI 8 Pro
Xiaomi,MI 8 UD,equuleus,MI 8 UD
Xiaomi,MI 8 UD,equuleus,equuleus
Xiaomi,MI 9,cepheus,MI 9
Xiaomi,MI 9 SE,grus,MI 9 SE
Xiaomi,MI 9 SE,grus,Mi 9 SE
Xiaomi,MI CC 9,pyxis,MI CC 9
Xiaomi,MI CC 9,pyxis,Mi 9 Lite
Xiaomi,MI CC 9,pyxis,Pyxis
Xiaomi,MI CC 9e,laurus,MI CC 9e
Xiaomi,MI CC 9e,laurus,laurus
Xiaomi,MI CC9 Pro,tucana,MI CC9 Pro
Xiaomi,MI CC9 Pro,tucana,Mi Note 10
Xiaomi,MI MAX,helium,MI MAX
Xiaomi,MI MAX,hydrogen,MI MAX
Xiaomi,MI MAX 2,oxygen,MI MAX 2
Xiaomi,MI MAX 3,nitrogen,MI MAX 3
Xiaomi,MI MIX 2S,polaris,Mi MIX 2S
Xiaomi,MI NOTE LTE,virgo,MI NOTE LTE
Xiaomi,MI NOTE Pro,leo,MI NOTE Pro
Xiaomi,MI Note 3,jason,Mi Note 3
Xiaomi,MI PAD,mocha,MI PAD
Xiaomi,MI PAD 3,cappu,MI PAD 3
Xiaomi,MI PAD 4,clover,MI PAD 4
Xiaomi,MI PLAY,lotus,MI PLAY
Xiaomi,MI6,sagit,MI 6
Xiaomi,MIBOXPRO,kungfupanda,MiBOX_PRO
Xiaomi,MIPAD2,latte,MI PAD 2
Xiaomi,MITV3S,missionimpossible,MiTV3S
Xiaomi,MITV3S-55/60,pulpfiction,MiTV3S
Xiaomi,MITV3S-55/60,pulpfiction,MiTV4
Xiaomi,MIX,lithium,MIX
Xiaomi,MIX,lithium,lithium
Xiaomi,MIX 2,chiron,MIX 2
Xiaomi,MIX 2,chiron,Mi MIX 2
Xiaomi,MIX 2S,polaris,MIX 2S
Xiaomi,MIX 2S,polaris,Mi MIX 2S
Xiaomi,MIX 3,perseus,MIX 3
Xiaomi,MIX 3,perseus,Mi MIX 3
Xiaomi,MIX 4,odin,2106118C
Xiaomi,Mi 10,umi,Mi 10
Xiaomi,Mi 10,umi,Umi
Xiaomi,Mi 10 Lite 5G,monet,XIG01
Xiaomi,Mi 10 Lite zoom,vangogh,M2002J9E
Xiaomi,Mi 10 Pro,cmi,Cmi
Xiaomi,Mi 10 Pro,cmi,Mi 10 Pro
Xiaomi,Mi 10 Ultra,cas,M2007J1SC
Xiaomi,Mi 10 lite 5G,monet,M2002J9G
Xiaomi,Mi 10 lite 5G,monet,M2002J9S
Xiaomi,Mi 10S,thyme,M2102J2SC
Xiaomi,Mi 10S,thyme,Thyme
Xiaomi,Mi 10T,apollo,M2007J3SP
Xiaomi,Mi 10T,apollo,M2007J3SY
Xiaomi,Mi 10T Lite,gauguin,M2007J17G
Xiaomi,Mi 10T Pro,apollo,M2007J3SG
Xiaomi,Mi 10T pro,apollo,M2007J3SI
Xiaomi,Mi 10i,gauguininpro,M2007J17I
Xiaomi,Mi 11,venus,M2011K2C
Xiaomi,Mi 11,venus,M2011K2G
Xiaomi,Mi 11 LE,lisa,2107119DC
Xiaomi,Mi 11 Lite,courbet,M2101K9AG
Xiaomi,Mi 11 Lite,courbetin,M2101K9AI
Xiaomi,Mi 11 Lite 5G,renoir,M2101K9C
Xiaomi,Mi 11 Lite 5G,renoir,M2101K9G
Xiaomi,Mi 11 Pro,mars,M2102K1AC
Xiaomi,Mi 11 Ultra,star,M2102K1C
Xiaomi,Mi 11 Ultra,star,M2102K1G
Xiaomi,Mi 11X Pro,haydnin,M2012K11I
Xiaomi,Mi 11i,haydn,M2012K11G
Xiaomi,Mi 3,pisces,MI 3
Xiaomi,Mi 4c,libra,Mi-4c
Xiaomi,Mi 4i,ferrari,Mi 4i
Xiaomi,Mi 5,gemini,MI 5
Xiaomi,Mi 5s,capricorn,MI 5s
Xiaomi,Mi 9 Lite,pyxis,Mi 9 Lite
Xiaomi,Mi 9 SE,grus,MI 9 SE
Xiaomi,Mi 9 SE,grus,Mi 9 SE
Xiaomi,Mi 9T,davinci,Mi 9T
Xiaomi,Mi 9T Pro,raphael,Mi 9T Pro
Xiaomi,Mi A1,tissot_sprout,MI A1
Xiaomi,Mi A1,tissot_sprout,Mi A1
Xiaomi,Mi A2,jasmine_sprout,Mi A2
Xiaomi,Mi A2 Lite,daisy_sprout,Mi A2 Lite
Xiaomi,Mi A3,laurel_sprout,Mi A3
Xiaomi,Mi Box,once,MIBOX3
Xiaomi,"Mi Laser Projector 150""",anglee,MiProjA1
Xiaomi,Mi Laser Projector 4K,angleeUHD,MiProjL1
Xiaomi,Mi MIX 3 5G,andromeda,Mi MIX 3 5G
Xiaomi,Mi Note,virgo,MI NOTE LTE
Xiaomi,Mi Note 10,tucana,Mi Note 10
Xiaomi,Mi Note 10 Lite,toco,Mi Note 10 Lite
Xiaomi,Mi Note 10 Lite,toco,toco
Xiaomi,Mi Note2,scorpio,Mi Note 2
Xiaomi,Mi TV Stick,aquaman,MiTV-AESP0
Xiaomi,Mi smart projector,eva,MiProjM05
Xiaomi,Mi9 Pro 5G,crux,Mi9 Pro 5G
Xiaomi,MiBOX1S,casablanca,MiBOX1S
Xiaomi,MiBOX2,dredd,MiBOX2
Xiaomi,MiBOX3S,queenchristina,MiBOX3S
Xiaomi,MiBOX_mini,forrestgump,MiBOX_mini
Xiaomi,MiBox S,oneday,MIBOX4
Xiaomi,MiTV,amelie,MiTV-MSSP0
Xiaomi,MiTV,croods,MiTV-MOOQ0
Xiaomi,MiTV,dangal,MiTV-AXSO0
Xiaomi,MiTV,dangalFHD,MiTV-AXSO1
Xiaomi,MiTV,dangalUHD,MiTV-AXSO2
Xiaomi,MiTV,hermano,MiTV-MOSR0
Xiaomi,MiTV,machuca,MiTV-MSSP3
Xiaomi,MiTV,magnolia,MiTV4I
Xiaomi,MiTV,nino,MiTV-MSSP1
Xiaomi,MiTV,tarzan,MiTV-MOOQ1
Xiaomi,MiTV,volver,MiTV-MSSP2
Xiaomi,MiTV2,entrapment,MiTV2
Xiaomi,MiTV4C,matrix,MiTV4C
Xiaomi,POCO F1,beryllium,POCOPHONE F1
Xiaomi,POCO M5s,rosemary,2207117BPG
Xiaomi,Redmi,HM2013023,2013023
Xiaomi,Redmi  Go,tiare,Redmi Go
Xiaomi,Redmi  Note  6  Pro,tulip,Redmi Note 6 Pro
Xiaomi,Redmi  Note  7 Pro,violet,Redmi Note 7 Pro
Xiaomi,Redmi  S2,ysl,Redmi S2
Xiaomi,Redmi 3,ido,Redmi 3
Xiaomi,Redmi 3,ido,ido
Xiaomi,Redmi 3S,land,Redmi 3S
Xiaomi,Redmi 4,prada,Redmi 4
Xiaomi,Redmi 4 Pro,markw,Redmi 4
Xiaomi,Redmi 4A,rolex,Redmi 4A
Xiaomi,Redmi 4X,santoni,Redmi 4X
Xiaomi,Redmi 4X,santoni,santoni
Xiaomi,Redmi 5,rosy,Redmi 5
Xiaomi,Redmi 5 Plus,vince,Redmi 5 Plus
Xiaomi,Redmi 5 Plus,vince,Redmi Note 5
Xiaomi,Redmi 5A,riva,Redmi 5A
Xiaomi,Redmi 6,cereus,Redmi 6
Xiaomi,Redmi 6 Pro,sakura_india,Redmi 6 Pro
Xiaomi,Redmi 6A,cactus,Redmi 6A
Xiaomi,Redmi 6Pro,sakura,Redmi 6 Pro
Xiaomi,Redmi 7,onc,ONC
Xiaomi,Redmi 7,onc,Redmi 7
Xiaomi,Redmi 7A,pine,Redmi 7A
Xiaomi,Redmi 8,olive,Redmi 8
Xiaomi,Redmi Go,tiare,Redmi Go
Xiaomi,Redmi K30 Pro Zoom Edition,lmipro,Redmi K30 Pro Zoom Edition
Xiaomi,Redmi Note 3,hennessy,Redmi Note 3
Xiaomi,Redmi Note 3,kate,Redmi Note 3
Xiaomi,Redmi Note 3,kenzo,Redmi Note 3
Xiaomi,Redmi Note 4,mido,Redmi Note 4
Xiaomi,Redmi Note 4,mido,Redmi Note 4X
Xiaomi,Redmi Note 4,nikel,Redmi Note 4
Xiaomi,Redmi Note 5,whyred,Redmi Note 5
Xiaomi,Redmi Note 5 Pro,whyred,Redmi Note 5
Xiaomi,Redmi Note 5 Pro,whyred,Redmi Note 5 Pro
Xiaomi,Redmi Note 5A,ugg,Redmi Note 5A
Xiaomi,Redmi Note 5A,ugg,Redmi Y1
Xiaomi,Redmi Note 5A,ugglite,Redmi Note 5A
Xiaomi,Redmi Note 8,ginkgo,Redmi Note 8
Xiaomi,Redmi Pro,omega,Redmi Pro
Xiaomi,Redmi S2,ysl,Redmi S2
Xiaomi,TELEBEE,once,MIBOX3
Xiaomi,Xiaomi 11 Lite 5G NE,lisa,2109119DG
Xiaomi,Xiaomi 11 Lite NE,lisa,2109119DI
Xiaomi,Xiaomi 11T,amber,21081111RG
Xiaomi,Xiaomi 11T Pro,vili,2107113SG
Xiaomi,Xiaomi 11T Pro,vili,2107113SI
Xiaomi,Xiaomi 11T Pro,vili,2107113SR
Xiaomi,Xiaomi 11i,pissarroin,21091116I
Xiaomi,Xiaomi 11i HyperCharge,pissarroinpro,21091116UI
Xiaomi,Xiaomi 12,cupid,2201123C
Xiaomi,Xiaomi 12,cupid,2201123G
Xiaomi,Xiaomi 12 Lite,taoyao,2203129G
Xiaomi,Xiaomi 12 Pro,zeus,2201122C
Xiaomi,Xiaomi 12 Pro,zeus,2201122G
Xiaomi,Xiaomi 12 Pro Dimensity,daumier,2207122MC
Xiaomi,Xiaomi 12S,mayfly,2206123SC
Xiaomi,Xiaomi 12S Pro,unicorn,2206122SC
Xiaomi,Xiaomi 12S Ultra,thor,2203121C
Xiaomi,Xiaomi 12T Pro,diting,22081212C
Xiaomi,Xiaomi 12X,psyche,2112123AC
Xiaomi,Xiaomi Civi,mona,2109119BC
Xiaomi,Xiaomi Civi 1S,zijin,2109119BC
Xiaomi,Xiaomi MIX Fold,cetus,M2011J18C
Xiaomi,Xiaomi MIX Fold 2,zizhan,22061218C
Xiaomi,Xiaomi Pad 5,nabu,21051182C
Xiaomi,Xiaomi Pad 5,nabu,21051182G
Xiaomi,Xiaomi Pad 5 Pro,dagu,22081281AC
Xiaomi,Xiaomi Pad 5 Pro,elish,M2105K81AC
Xiaomi,Xiaomi Pad 5 Pro 5G,enuma,M2105K81C
Xiaomi,Xiaomi TV stick 4K,soul,MiTV-AYFR0
Xiaomi,小米手表,baiji,Mi Watch
